# Parameters
#AUC	Inverted	ACC	OT	fp	tp	N	P
0.744882	+	0.948305	1.000000	0.000000	0.000000	27241	1485
# ROC Points
#fp	tp
0.000000	0.000000
0.002790	0.040404
0.002827	0.041077
0.002827	0.042424
0.002900	0.042424
0.002900	0.043098
0.002900	0.043771
0.002973	0.043771
0.003047	0.043771
0.003120	0.045118
0.003120	0.045791
0.003157	0.045791
0.003157	0.046465
0.003194	0.046465
0.003230	0.047138
0.003267	0.047138
0.003304	0.047138
0.003634	0.052525
0.003634	0.054545
0.003634	0.055219
0.003708	0.055219
0.003744	0.055219
0.003744	0.055892
0.003744	0.056566
0.003818	0.057912
0.004001	0.058586
0.004148	0.060606
0.004148	0.061279
0.004185	0.061279
0.004222	0.061279
0.004258	0.061279
0.004405	0.061953
0.004442	0.063300
0.004479	0.067340
0.004479	0.068013
0.004479	0.068687
0.004515	0.068687
0.004515	0.069360
0.004552	0.069360
0.004589	0.069360
0.004699	0.070707
0.004772	0.071380
0.004809	0.072727
0.004846	0.073401
0.004846	0.074747
0.004882	0.074747
0.005617	0.081481
0.005727	0.084848
0.005837	0.084848
0.006020	0.084848
0.006057	0.084848
0.006094	0.084848
0.006130	0.088889
0.006204	0.088889
0.006387	0.091582
0.006461	0.091582
0.006461	0.092256
0.006498	0.092256
0.006498	0.094276
0.006534	0.094276
0.006571	0.094276
0.007085	0.097643
0.007268	0.099663
0.007342	0.099663
0.007562	0.102357
0.007562	0.103030
0.007746	0.103030
0.008039	0.103030
0.008113	0.103030
0.008370	0.104377
0.008406	0.104377
0.008443	0.104377
0.008443	0.105051
0.008553	0.107071
0.008663	0.109764
0.008774	0.110438
0.008774	0.111111
0.008810	0.111111
0.008847	0.111111
0.008920	0.111785
0.009067	0.111785
0.009104	0.112458
0.009471	0.118519
0.009471	0.119192
0.009581	0.120539
0.009618	0.121212
0.009691	0.121212
0.009912	0.121886
0.010132	0.123906
0.010132	0.125253
0.010168	0.125253
0.010279	0.125253
0.010352	0.127273
0.010389	0.127273
0.010425	0.127273
0.011013	0.129966
0.011050	0.131313
0.011380	0.133333
0.011417	0.134007
0.011453	0.135354
0.011784	0.140067
0.011784	0.141414
0.011857	0.141414
0.012224	0.142761
0.012371	0.142761
0.012371	0.143434
0.012408	0.143434
0.012444	0.144108
0.012481	0.144108
0.012518	0.144108
0.012555	0.144108
0.012591	0.144781
0.012775	0.144781
0.012812	0.147475
0.012885	0.150842
0.012922	0.152189
0.012958	0.155556
0.013326	0.160943
0.013582	0.161616
0.013582	0.162290
0.013582	0.162963
0.013619	0.162963
0.013656	0.162963
0.013766	0.163636
0.013803	0.163636
0.013876	0.163636
0.013913	0.164310
0.013950	0.164310
0.014170	0.167003
0.014170	0.169024
0.014280	0.169024
0.014317	0.170370
0.014353	0.170370
0.014390	0.173737
0.014574	0.173737
0.014610	0.173737
0.014610	0.174411
0.014831	0.178451
0.015051	0.178451
0.015124	0.178451
0.015198	0.179125
0.015234	0.179125
0.015308	0.179798
0.015345	0.179798
0.015381	0.179798
0.015491	0.181145
0.015601	0.181145
0.015748	0.183165
0.015822	0.186532
0.015858	0.186532
0.016152	0.187879
0.016189	0.187879
0.016189	0.188552
0.016336	0.188552
0.016372	0.188552
0.016372	0.189899
0.016519	0.191919
0.016666	0.195286
0.016776	0.195286
0.017253	0.199327
0.017474	0.200673
0.017584	0.201347
0.018098	0.203367
0.018171	0.204714
0.018758	0.207407
0.018942	0.207407
0.018942	0.208081
0.019309	0.210774
0.019419	0.211448
0.019493	0.211448
0.019676	0.212121
0.019750	0.212121
0.019970	0.212121
0.019970	0.212795
0.019970	0.214141
0.020007	0.214141
0.020080	0.214141
0.020374	0.218855
0.020410	0.220202
0.020447	0.222222
0.020851	0.223569
0.021548	0.228283
0.021915	0.229630
0.022503	0.232323
0.022540	0.232997
0.022576	0.232997
0.022686	0.233670
0.023127	0.235017
0.023347	0.235017
0.023384	0.235017
0.023531	0.236364
0.023531	0.237710
0.023788	0.242424
0.023861	0.243771
0.024559	0.244444
0.024669	0.245118
0.024705	0.245118
0.024852	0.246465
0.024852	0.247811
0.025109	0.251178
0.025183	0.251178
0.025256	0.251178
0.025476	0.253199
0.025476	0.253872
0.025550	0.255219
0.025586	0.255219
0.025733	0.255219
0.025880	0.256566
0.025917	0.256566
0.026908	0.262626
0.027018	0.263300
0.027018	0.263973
0.027238	0.263973
0.027312	0.263973
0.027642	0.264646
0.027752	0.267340
0.027752	0.268687
0.027752	0.270707
0.027752	0.271380
0.027862	0.271380
0.027899	0.272054
0.028046	0.273401
0.028083	0.273401
0.028083	0.274074
0.028193	0.275421
0.028633	0.276094
0.028633	0.278114
0.028743	0.278788
0.029000	0.280808
0.029037	0.282828
0.029037	0.283502
0.029147	0.284175
0.029184	0.284175
0.029478	0.284848
0.029514	0.285522
0.030065	0.286195
0.030175	0.286195
0.030579	0.290236
0.031130	0.291582
0.031166	0.291582
0.031203	0.291582
0.031387	0.295623
0.031423	0.295623
0.031937	0.296970
0.031937	0.297643
0.031974	0.297643
0.031974	0.298316
0.032011	0.298316
0.032231	0.298990
0.032304	0.300337
0.032378	0.300337
0.032451	0.301684
0.032488	0.302357
0.032781	0.303030
0.032818	0.303030
0.032855	0.303030
0.033075	0.305724
0.033222	0.305724
0.033259	0.305724
0.033406	0.305724
0.033516	0.306397
0.033516	0.307071
0.033699	0.307744
0.033846	0.307744
0.033993	0.309764
0.034323	0.309764
0.035057	0.315825
0.035168	0.315825
0.036195	0.321212
0.037076	0.323906
0.037444	0.324579
0.037957	0.326599
0.038141	0.329293
0.038214	0.329293
0.038875	0.334007
0.039352	0.337374
0.039646	0.337374
0.039683	0.337374
0.039720	0.337374
0.039756	0.337374
0.039830	0.339394
0.039903	0.340067
0.040344	0.342088
0.040564	0.342088
0.040637	0.343434
0.040674	0.343434
0.040821	0.344781
0.040968	0.346801
0.041004	0.346801
0.041665	0.347475
0.042106	0.353535
0.042142	0.353535
0.042179	0.353535
0.042546	0.353535
0.042730	0.358249
0.043501	0.367003
0.043721	0.368350
0.044051	0.370370
0.044051	0.371044
0.044125	0.371044
0.044161	0.371044
0.044492	0.371717
0.044675	0.373064
0.044712	0.373064
0.044785	0.373064
0.044932	0.373064
0.045189	0.375084
0.045409	0.376431
0.045409	0.377778
0.045520	0.378451
0.045556	0.379125
0.045593	0.379125
0.045703	0.379125
0.045813	0.379798
0.046217	0.383838
0.046804	0.385859
0.047649	0.385859
0.048346	0.385859
0.048566	0.385859
0.048603	0.386532
0.048787	0.386532
0.048897	0.387205
0.049007	0.387205
0.049007	0.387879
0.049044	0.389226
0.049301	0.391246
0.049484	0.392593
0.049631	0.393266
0.050365	0.395960
0.050769	0.397306
0.051063	0.397980
0.052237	0.400673
0.052311	0.402694
0.052715	0.403367
0.053816	0.405387
0.053926	0.405387
0.054110	0.406061
0.054183	0.406061
0.054954	0.410774
0.055762	0.416162
0.056239	0.416162
0.056422	0.416162
0.056459	0.417508
0.056496	0.418855
0.056532	0.422222
0.056936	0.426263
0.057413	0.427609
0.057670	0.428283
0.057670	0.428956
0.057670	0.429630
0.058772	0.433670
0.058955	0.434343
0.059653	0.437710
0.060167	0.438384
0.060277	0.438384
0.060424	0.439057
0.060791	0.443098
0.060827	0.443098
0.060901	0.445118
0.061084	0.445791
0.061195	0.445791
0.061451	0.447811
0.061819	0.450505
0.061855	0.450505
0.062149	0.451178
0.062259	0.455219
0.062369	0.457239
0.062883	0.458586
0.063250	0.458586
0.063287	0.458586
0.063801	0.458586
0.063838	0.458586
0.063984	0.461953
0.064168	0.461953
0.064352	0.461953
0.064425	0.462626
0.064572	0.462626
0.065122	0.466667
0.065159	0.466667
0.065269	0.466667
0.065269	0.467340
0.065563	0.468687
0.065636	0.468687
0.065967	0.469360
0.066040	0.470707
0.066150	0.470707
0.067692	0.476094
0.068096	0.478788
0.069454	0.479461
0.070776	0.480135
0.071033	0.480135
0.071363	0.481481
0.072024	0.482155
0.072281	0.482155
0.072464	0.482828
0.073309	0.484175
0.073823	0.484848
0.075034	0.486869
0.075218	0.486869
0.075328	0.486869
0.076099	0.490236
0.076539	0.492929
0.076576	0.492929
0.077200	0.492929
0.077420	0.492929
0.079035	0.498316
0.079990	0.501010
0.080577	0.501010
0.080614	0.501010
0.080871	0.501684
0.081054	0.502357
0.081201	0.503030
0.081972	0.506397
0.082119	0.506397
0.082266	0.507744
0.082486	0.508418
0.082670	0.508418
0.082743	0.508418
0.082890	0.508418
0.082926	0.508418
0.083367	0.508418
0.083477	0.508418
0.083661	0.510438
0.085092	0.511785
0.085386	0.511785
0.085680	0.512458
0.086230	0.513131
0.086597	0.513131
0.087919	0.515825
0.089608	0.518519
0.090489	0.519865
0.090635	0.520539
0.091223	0.523232
0.091737	0.523906
0.093646	0.530640
0.094453	0.531987
0.094563	0.531987
0.095187	0.534007
0.096546	0.534680
0.097353	0.537374
0.097647	0.538047
0.097757	0.538047
0.098087	0.538047
0.099079	0.540741
0.099849	0.545455
0.100914	0.546801
0.101098	0.546801
0.101171	0.546801
0.101244	0.547475
0.101648	0.548822
0.102236	0.551515
0.103594	0.552189
0.104144	0.552862
0.104622	0.552862
0.105760	0.555556
0.106274	0.556229
0.106861	0.556902
0.106971	0.556902
0.107632	0.556902
0.108953	0.560269
0.112845	0.562963
0.114533	0.562963
0.116295	0.564310
0.116479	0.564310
0.118351	0.565657
0.118645	0.565657
0.118902	0.565657
0.119048	0.565657
0.119452	0.566330
0.120003	0.566330
0.120113	0.567003
0.120847	0.568350
0.121288	0.569697
0.121435	0.569697
0.123307	0.571717
0.124959	0.572391
0.125876	0.572391
0.127308	0.576431
0.127712	0.576431
0.129694	0.577778
0.131199	0.579798
0.131493	0.579798
0.132704	0.581145
0.132925	0.581145
0.133218	0.581145
0.133365	0.582492
0.133512	0.582492
0.136963	0.584512
0.137330	0.584512
0.138247	0.585185
0.138798	0.585859
0.139973	0.586532
0.141221	0.589899
0.141735	0.591246
0.141918	0.591246
0.142689	0.592593
0.142763	0.592593
0.143974	0.592593
0.145259	0.593939
0.146581	0.594613
0.146654	0.595286
0.148012	0.595960
0.150325	0.597980
0.150435	0.597980
0.151096	0.598653
0.151243	0.598653
0.152564	0.602020
1.000000	1.000000
