# Parameters
#AUC	Inverted	ACC	OT	fp	tp	N	P
0.879889	+	0.951681	0.542000	0.006681	0.187879	27241	1485
# ROC Points
#fp	tp
0.000000	0.000000
0.000037	0.000673
0.000037	0.001347
0.000073	0.001347
0.000073	0.002020
0.000073	0.002694
0.000073	0.003367
0.000073	0.004040
0.000110	0.004714
0.000110	0.005387
0.000147	0.006061
0.000184	0.006061
0.000184	0.006734
0.000184	0.007407
0.000220	0.007407
0.000220	0.008754
0.000257	0.008754
0.000257	0.009428
0.000294	0.010101
0.000294	0.010774
0.000330	0.010774
0.000330	0.011448
0.000330	0.012795
0.000330	0.013468
0.000367	0.013468
0.000367	0.014141
0.000404	0.014141
0.000404	0.014815
0.000477	0.014815
0.000477	0.015488
0.000477	0.016162
0.000477	0.017508
0.000477	0.018855
0.000477	0.019529
0.000477	0.020202
0.000477	0.020875
0.000477	0.021549
0.000477	0.022222
0.000514	0.022222
0.000514	0.022896
0.000514	0.023569
0.000514	0.024916
0.000514	0.025589
0.000514	0.026263
0.000514	0.026936
0.000514	0.027609
0.000514	0.028956
0.000551	0.028956
0.000551	0.029630
0.000587	0.030303
0.000587	0.030976
0.000624	0.031650
0.000624	0.032323
0.000661	0.032997
0.000661	0.033670
0.000734	0.033670
0.000771	0.034343
0.000844	0.035017
0.000881	0.035017
0.000918	0.035690
0.000918	0.037710
0.000918	0.039057
0.000918	0.040404
0.000918	0.041751
0.000918	0.042424
0.000954	0.043771
0.000954	0.044444
0.000954	0.045118
0.000954	0.046465
0.000954	0.047138
0.000954	0.047811
0.000954	0.048485
0.000954	0.049158
0.000991	0.049158
0.000991	0.050505
0.001028	0.050505
0.001065	0.051178
0.001065	0.052525
0.001065	0.053199
0.001175	0.053199
0.001211	0.053199
0.001248	0.053872
0.001248	0.055219
0.001248	0.056566
0.001285	0.057239
0.001285	0.057912
0.001285	0.058586
0.001322	0.058586
0.001358	0.059259
0.001432	0.059259
0.001432	0.060606
0.001468	0.061953
0.001468	0.062626
0.001542	0.062626
0.001579	0.062626
0.001652	0.063973
0.001652	0.065320
0.001689	0.065993
0.001762	0.068013
0.001762	0.068687
0.001762	0.070707
0.001799	0.071380
0.001872	0.073401
0.001946	0.073401
0.001946	0.074074
0.001946	0.074747
0.001982	0.075421
0.001982	0.076094
