,predus_FPR,predus_TPR,ispred_FPR,ispred_TPR,dockpred_FPR,dockpred_TPR,rfscore_FPR,rfscore_TPR,logreg_FPR,logreg_TPR
,ispred_FPR,ispred_TPR,,,,,,,,
,dockpred_FPR,dockpred_TPR,,,,,,,,
,rfscore_FPR,rfscore_TPR,,,,,,,,
,logreg_FPR,logreg_TPR,,,,,,,,
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.13997627520759193,0.7358490566037735,0.5682087781731909,0.8679245283018868,0.47568208778173193,1.0,0.1933570581257414,0.7924528301886793,0.29537366548042704,0.9811320754716981
2,0.13641755634638197,0.7358490566037735,0.4223013048635824,0.8490566037735849,0.38552787663107946,1.0,0.18505338078291814,0.7547169811320755,0.20759193357058126,0.8867924528301887
3,0.12455516014234876,0.7358490566037735,0.36061684460260973,0.8490566037735849,0.3274021352313167,1.0,0.17793594306049823,0.7547169811320755,0.16844602609727166,0.8679245283018868
4,0.1103202846975089,0.6981132075471698,0.32147093712930014,0.8490566037735849,0.2918149466192171,1.0,0.17319098457888493,0.7547169811320755,0.1494661921708185,0.8679245283018868
5,0.099644128113879,0.6792452830188679,0.28944246737841045,0.8490566037735849,0.2586002372479241,1.0,0.1601423487544484,0.7547169811320755,0.13404507710557534,0.8679245283018868
6,0.08540925266903915,0.6226415094339622,0.26334519572953735,0.8490566037735849,0.2372479240806643,1.0,0.15658362989323843,0.7358490566037735,0.1221826809015421,0.8679245283018868
7,0.08540925266903915,0.6226415094339622,0.2431791221826809,0.8490566037735849,0.22182680901542112,0.9811320754716981,0.1494661921708185,0.7358490566037735,0.11387900355871886,0.8490566037735849
8,0.07829181494661921,0.5849056603773585,0.2313167259786477,0.8490566037735849,0.2111506524317912,0.9811320754716981,0.14472123368920523,0.7358490566037735,0.10320284697508897,0.8490566037735849
9,0.06287069988137604,0.5849056603773585,0.2147093712930012,0.8490566037735849,0.20284697508896798,0.9811320754716981,0.1387900355871886,0.7169811320754716,0.09727164887307237,0.8113207547169812
10,0.060498220640569395,0.5849056603773585,0.20521945432977462,0.8490566037735849,0.18979833926453143,0.9811320754716981,0.13048635824436536,0.6792452830188679,0.09252669039145907,0.8113207547169812
11,0.05812574139976275,0.5849056603773585,0.19572953736654805,0.8490566037735849,0.17200474495848161,0.9811320754716981,0.12811387900355872,0.6792452830188679,0.08540925266903915,0.8113207547169812
12,0.05219454329774614,0.5660377358490566,0.18623962040332148,0.8490566037735849,0.16132858837485173,0.9433962264150944,0.12455516014234876,0.6792452830188679,0.08185053380782918,0.7924528301886793
13,0.04744958481613286,0.5471698113207547,0.1826809015421115,0.8490566037735849,0.15658362989323843,0.9056603773584906,0.1221826809015421,0.6792452830188679,0.07829181494661921,0.7924528301886793
14,0.046263345195729534,0.5471698113207547,0.17319098457888493,0.8301886792452831,0.1435349940688019,0.8867924528301887,0.11981020166073547,0.6792452830188679,0.07354685646500593,0.7735849056603774
15,0.045077105575326216,0.5094339622641509,0.166073546856465,0.8301886792452831,0.1376037959667853,0.8490566037735849,0.1162514827995255,0.6792452830188679,0.06761565836298933,0.7358490566037735
16,0.045077105575326216,0.5094339622641509,0.15776986951364175,0.8301886792452831,0.13523131672597866,0.8490566037735849,0.11387900355871886,0.6792452830188679,0.06405693950177936,0.7358490566037735
17,0.042704626334519574,0.4716981132075472,0.15302491103202848,0.8301886792452831,0.13167259786476868,0.8490566037735849,0.10913404507710557,0.6792452830188679,0.05812574139976275,0.7169811320754716
18,0.04151838671411625,0.4528301886792453,0.14590747330960854,0.8113207547169812,0.12336892052194544,0.8113207547169812,0.10201660735468565,0.660377358490566,0.05575326215895611,0.7169811320754716
19,0.03558718861209965,0.39622641509433965,0.14472123368920523,0.8113207547169812,0.11862396204033215,0.7735849056603774,0.099644128113879,0.6415094339622641,0.054567022538552785,0.7169811320754716
20,0.03202846975088968,0.39622641509433965,0.14116251482799524,0.7735849056603774,0.11150652431791222,0.7547169811320755,0.099644128113879,0.6415094339622641,0.05219454329774614,0.7169811320754716
21,0.02609727164887307,0.39622641509433965,0.13997627520759193,0.7735849056603774,0.10794780545670225,0.7547169811320755,0.099644128113879,0.6415094339622641,0.051008303677342826,0.7169811320754716
22,0.02609727164887307,0.39622641509433965,0.13404507710557534,0.7735849056603774,0.10201660735468565,0.7358490566037735,0.09845788849347568,0.6415094339622641,0.0498220640569395,0.7169811320754716
23,0.02491103202846975,0.37735849056603776,0.13048635824436536,0.7735849056603774,0.099644128113879,0.7358490566037735,0.09252669039145907,0.6415094339622641,0.04863582443653618,0.7169811320754716
24,0.02491103202846975,0.3584905660377358,0.13048635824436536,0.7735849056603774,0.09727164887307237,0.7169811320754716,0.08896797153024912,0.6226415094339622,0.04744958481613286,0.6981132075471698
25,0.02372479240806643,0.33962264150943394,0.1269276393831554,0.7547169811320755,0.0937129300118624,0.6981132075471698,0.08422301304863583,0.6226415094339622,0.04389086595492289,0.6981132075471698
26,0.022538552787663108,0.32075471698113206,0.12336892052194544,0.7358490566037735,0.08540925266903915,0.6981132075471698,0.08066429418742586,0.6226415094339622,0.042704626334519574,0.6981132075471698
