,predus,ispred,dockpred,annotated,rfscore
1_1JPS.H,0.0,0.04,0.06542,0.0,0.0
2_1JPS.H,0.0,0.04,0.07781,0.0,0.0
3_1JPS.H,0.0,0.05,0.01037,0.0,0.0
4_1JPS.H,0.0,0.0,0.00253,0.0,0.0
5_1JPS.H,0.0,0.24,0.00655,0.0,0.0
6_1JPS.H,0.0,0.0,0.00464,0.0,0.0
7_1JPS.H,0.0,0.47,0.0179,0.0,0.0
8_1JPS.H,0.0,0.08,0.02404,0.0,0.0
9_1JPS.H,0.0,0.04,0.01857,0.0,0.0
10_1JPS.H,0.0,0.0,0.01486,0.0,0.0
11_1JPS.H,0.0,0.04,0.0243,0.0,0.0
12_1JPS.H,0.0,0.0,0.01832,0.0,0.0
13_1JPS.H,0.0,0.01,0.03514,0.0,0.0
14_1JPS.H,0.0,0.01,0.029930000000000002,0.0,0.0
15_1JPS.H,0.0,0.01,0.02275,0.0,0.0
16_1JPS.H,0.0,0.01,0.022959999999999998,0.0,0.0
17_1JPS.H,0.0,0.01,0.026680000000000002,0.0,0.0
18_1JPS.H,0.0,0.0,0.00707,0.0,0.0
19_1JPS.H,0.0,0.01,0.04231,0.0,0.0
20_1JPS.H,0.0,0.0,0.01254,0.0,0.0
21_1JPS.H,0.0,0.01,0.0179,0.0,0.0
22_1JPS.H,0.0,0.0,0.0008300000000000001,0.0,0.0
23_1JPS.H,0.0,0.04,0.00655,0.0,0.0
24_1JPS.H,0.0,0.0,0.00402,0.0,0.0
25_1JPS.H,0.013000000000000001,0.01,0.01042,0.0,0.0
26_1JPS.H,0.034,0.02,0.0742,0.0,0.0
27_1JPS.H,0.02,0.0,0.09468,0.0,0.0
28_1JPS.H,0.051,0.14,0.07115,0.0,0.0
29_1JPS.H,0.0,0.0,0.00206,0.0,0.0
30_1JPS.H,0.057,0.74,0.17063,1.0,0.3
31_1JPS.H,0.159,0.93,0.51189,1.0,0.2
32_1JPS.H,0.42200000000000004,0.94,0.46902,1.0,0.6
33_1JPS.H,1.0,0.73,0.66132,1.0,0.3
34_1JPS.H,0.0,0.0,0.0001,0.0,0.0
35_1JPS.H,0.0,0.0,0.02358,0.0,0.0
36_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
37_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
38_1JPS.H,0.0,0.0,0.00088,0.0,0.0
39_1JPS.H,0.0,0.0,0.00119,0.0,0.0
40_1JPS.H,0.0,0.08,0.00526,0.0,0.0
