,predus,ispred,dockpred,rfscore,logreg
cv1,0.32389031075428415,0.3631021840439451,0.3318173007714246,0.4988738133279127,0.487232725170493
cv2,0.3010023657802082,0.3346123638589024,0.30033386565452375,0.4467889322882027,0.42756792462875104
cv3,0.2168362951029632,0.26775861960777575,0.22698390091380194,0.30049534314719134,0.3003436423546525
cv4,0.14793993840369915,0.271383547765704,0.2406443273993876,0.3231118222496966,0.3041980427920774
cv5,0.24923217933833666,0.35621238631616214,0.31735169507503813,0.44099653779724185,0.42562925436105536
cv6,0.24258845072718577,0.39965360361232055,0.2008756826744546,0.3973859945736968,0.41003044640334047
cv7,0.2301905380380045,0.3584927893878033,0.21050048491018075,0.38536320252775913,0.3637744343345765
cv8,0.2431093198788873,0.28399650975894536,0.22642949973095233,0.3504081361947059,0.35938749982142765
cv9,0.3025979588991439,0.25875174291576925,0.3545865833415398,0.47089964416324087,0.4601728234511676
cv10,0.2511273821834384,0.2754605794682036,0.28273646018243215,0.37658064884342934,0.36693108763890825
