,predus,ispred,dockpred,rfscore,logreg
cv1,0.35711988824839275,0.36119069455705105,0.36729690402003856,0.45481923965619253,0.4263235954955843
cv2,0.3347760691022674,0.32661433584155997,0.3368165024174443,0.3919082019272197,0.4041508018182809
cv3,0.2746173044923554,0.32109076373102274,0.24081842504605186,0.32109076373102274,0.33165291355799265
cv4,0.18753454286312404,0.2748399978799831,0.24989558216088048,0.30186311490901085,0.29770571228916043
cv5,0.27988550738508444,0.32120586835745113,0.38731844591323783,0.40178057225356617,0.43070482493422285
cv6,0.25774432334210245,0.33348358514303067,0.2252846397131332,0.3370902166573606,0.3370902166573606
cv7,0.2870295234408941,0.3687316220581707,0.2627397103384605,0.37977244619564055,0.353274468265713
cv8,0.2595266009869751,0.31834277287119495,0.3096292659253846,0.3662670610731518,0.3619103076002466
cv9,0.3621311612399791,0.3213363991438341,0.43692155841624497,0.46411806648034165,0.4210569287121886
cv10,0.34394289392772087,0.3261548457519146,0.3595074360815514,0.40842456856501863,0.383966002323285
