,predus_FPR,predus_TPR,ispred_TPR,ispred_FPR,dockpred_TPR,dockpred_FPR,logreg_TPR,logreg_FPR,rfscore_TPR,rfscore_FPR
,ispred_FPR,ispred_TPR,,,,,,,,
,dockpred_FPR,dockpred_TPR,,,,,,,,
,logreg_FPR,logreg_TPR,,,,,,,,
,rfscore_FPR,rfscore_TPR,,,,,,,,
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.14809278536181247,0.5023169601482854,0.8804448563484708,0.5565140654828369,0.9151992585727525,0.5774952274610092,0.9946709916589435,0.6625904981450131,0.9752085264133457,0.6349097719987034
0.02,0.14168137449122933,0.49721964782205746,0.8507877664504171,0.42898822173396245,0.881371640407785,0.4836292907826964,0.9673308619091752,0.459640528761301,0.938368860055607,0.4662140258617585
0.03,0.1337031300651947,0.49304911955514363,0.8188137164040779,0.36055181356481647,0.8521779425393883,0.4198933832799049,0.9295644114921223,0.31568994705183157,0.9070898980537535,0.3721860029535713
0.04,0.1226632568526456,0.48632993512511585,0.7935588507877664,0.32026438065050605,0.82483781278962,0.37157367719626844,0.8897126969416126,0.2302705039080791,0.8825301204819277,0.31181788711594566
0.05,0.1166840759283939,0.48123262279888784,0.7768767377201112,0.29303389403162483,0.7995829471733086,0.3352843712855239,0.8626042632066728,0.18400389006951698,0.840129749768304,0.2543853329971545
0.06,0.10713899794690776,0.47405004633920295,0.7622798887859129,0.2728631632028239,0.7757182576459685,0.3039116810142996,0.8387395736793327,0.15472031120556134,0.81209453197405,0.2155026474084213
0.07,0.10189820984763895,0.4677942539388322,0.7544022242817423,0.25688866476965744,0.7564874884151993,0.27795987465331556,0.8137164040778498,0.13352303425422324,0.7873030583873958,0.18906458235781437
0.08,0.09573893311241581,0.456209453197405,0.7444392956441149,0.24345351727118827,0.7344763670064874,0.2574109426214746,0.7933271547729379,0.11421676331808522,0.7701575532900834,0.17245974858624788
0.09,0.08900334978208407,0.4462465245597776,0.736793327154773,0.2312970500306163,0.7126969416126042,0.23808666210423945,0.7743280815569972,0.10198825775312466,0.7544022242817423,0.15963692684508157
0.1,0.0863379317797068,0.4427710843373494,0.731696014828545,0.22151784749486728,0.6941612604263206,0.22155386665706156,0.7560240963855421,0.09197493066311277,0.7323911028730306,0.14413067752044087
0.11,0.0843208586968267,0.43628359592215016,0.7215013901760889,0.2128732485682383,0.6744670991658943,0.20638979937326657,0.7407321594068582,0.0847710982242553,0.7180259499536608,0.134117350430429
0.12,0.07884594604329503,0.4256255792400371,0.7150139017608897,0.20543529157511797,0.657321594068582,0.19329683391564312,0.7286839666357738,0.07825162986708929,0.7041241890639481,0.1264092497208515
0.13,0.07293880344343191,0.4170528266913809,0.709221501390176,0.19895184238014624,0.6408711770157554,0.18117638583726542,0.7145505097312326,0.07319093757879191,0.6943929564411492,0.11934949393077117
0.14,0.06904873392644888,0.40593141797961074,0.703660797034291,0.193404891402226,0.621177015755329,0.17058675215214494,0.7050509731232623,0.06841839858804884,0.6809545875810936,0.11364045672297662
0.15,0.06717573749234593,0.40013901760889714,0.6974050046339203,0.1873536721535857,0.6061167747914736,0.16032129092677305,0.6936978683966636,0.0649785685984944,0.6638090824837812,0.10726506501458775
0.16,0.06593307639664302,0.39457831325301207,0.6927710843373494,0.18196880740553975,0.5912882298424467,0.15187479739221266,0.6816496756255792,0.06062024997298563,0.6473586654309545,0.10004322299463314
0.17,0.06373590750279148,0.3862372567191844,0.6867469879518072,0.17734034506357382,0.5783132530120482,0.14368043799301228,0.6689063948100092,0.05696430501026546,0.6299814643188137,0.09399200374599287
0.18,0.060692288297374206,0.3697868396663577,0.6818813716404077,0.1728379497892879,0.5625579240037072,0.13633252890537767,0.6601019462465245,0.05411879119691676,0.6144578313253012,0.08911140726866693
0.19,0.05759464034866549,0.35472659870250234,0.677710843373494,0.169091956921082,0.5484244670991659,0.13002917552137738,0.6492122335495829,0.05174152649209379,0.6010194624652456,0.08442891618340957
0.2,0.05388466664265389,0.34291010194624655,0.6723818350324374,0.16543601195836186,0.5301204819277109,0.12377985088066852,0.6392493049119555,0.04923819471959082,0.5845690454124189,0.08044879876094083
0.21,0.05260598638475669,0.33804448563484707,0.6672845227062094,0.16150992327918454,0.5143651529193698,0.11792673702409683,0.631371640407785,0.04689694917696215,0.5685820203892493,0.07592839390555775
0.22,0.048950041422036523,0.32854494902687675,0.6612604263206673,0.1583582465871844,0.5,0.11232575730288513,0.6167747914735866,0.044897885675179196,0.5521316033364226,0.07149803695566041
0.23,0.048013543204985056,0.32391102873030586,0.657321594068582,0.15452220581349277,0.48725671918443003,0.10672477758167345,0.6121408711770158,0.04273673594352195,0.5319740500463392,0.06679753628930592
0.24,0.047545294096459315,0.3227525486561631,0.6519925857275255,0.15146057702697835,0.47451343836886006,0.10193422900983323,0.602873030583874,0.04084572992832187,0.5125115848007414,0.06188092064978568
0.25,0.04556424017577351,0.3107043558850788,0.647126969416126,0.1484349674026582,0.461306765523633,0.09699960378921586,0.5954587581093606,0.038972733494218925,0.4939759036144578,0.05748658286208263
