,predus_Recall,predus_Precsion,ispred_Precsion,ispred_Recall,dockpred_Precsion,dockpred_Recall,logreg_Precsion,logreg_Recall,rfscore_Precsion,rfscore_Recall
,ispred_Recall,ispred_Precsion,,,,,,,,
,dockpred_Recall,dockpred_Precsion,,,,,,,,
,logreg_Recall,logreg_Precsion,,,,,,,,
,rfscore_Recall,rfscore_Precsion,,,,,,,,
0,1.0,0.07212325791250293,0.07212325791250293,1.0,0.07212325791250293,1.0,0.07212325791250293,1.0,0.07212325791250293,1.0
1,0.5023169601482854,0.20864209411991147,0.10950693063600472,0.8804448563484708,0.10967347845402044,0.9151992585727525,0.10449323337552331,0.9946709916589435,0.10665686845906291,0.9752085264133457
2,0.49721964782205746,0.21432138220313593,0.13356612832824094,0.8507877664504171,0.12407854393632983,0.881371640407785,0.14058659123817221,0.9673308619091752,0.13528409660286603,0.938368860055607
3,0.49304911955514363,0.22278056951423786,0.15003821007047635,0.8188137164040779,0.13625754825325084,0.8521779425393883,0.1862494777401235,0.9295644114921223,0.1592693543793987,0.9070898980537535
4,0.48632993512511585,0.2355780022446689,0.1614956620143342,0.7935588507877664,0.14715608465608465,0.82483781278962,0.23096355106459762,0.8897126969416126,0.18032476447474316,0.8825301204819277
5,0.48123262279888784,0.2427536231884058,0.1708622095393396,0.7768767377201112,0.15638027913721225,0.7995829471733086,0.26707317073170733,0.8626042632066728,0.20427018196157962,0.840129749768304
6,0.47405004633920295,0.2559099437148218,0.17840681091047123,0.7622798887859129,0.16555407209612816,0.7757182576459685,0.2964540168700352,0.8387395736793327,0.22655290543597698,0.81209453197405
7,0.4677942539388322,0.2629933567799922,0.18584474885844748,0.7544022242817423,0.17460826782180866,0.7564874884151993,0.3214351089145158,0.8137164040778498,0.2445308002302821,0.7873030583873958
8,0.456209453197405,0.27028140013726837,0.19203873050026896,0.7444392956441149,0.18152665635915938,0.7344763670064874,0.3506041368011468,0.7933271547729379,0.2576744186046512,0.7701575532900834
9,0.4462465245597776,0.2804309842748981,0.1984647069837109,0.736793327154773,0.18875797741777123,0.7126969416126042,0.3711271515824542,0.7743280815569972,0.26864686468646864,0.7544022242817423
10,0.4427710843373494,0.28501118568232664,0.20429551041531893,0.731696014828545,0.19584259380311153,0.6941612604263206,0.3898446833930705,0.7560240963855421,0.2831422429236833,0.7323911028730306
11,0.43628359592215016,0.28682406702208685,0.20851747689835276,0.7215013901760889,0.20256071254609978,0.6744670991658943,0.4044787449392713,0.7407321594068582,0.2938554902332638,0.7180259499536608
