threshold,Global_Dbmark_TPR,Global_Dbmark_FPR,Pred_Dbmark_sum,Ressum_Dbmark,Global_NOX_TPR,Global_NOX_FPR,Global_Total_TPR, Global_Total_FPR
0.0,1.0,1.0,28949.0,1500.0,1.0,1.0,1.0,1.0
0.01,0.622,0.13505045721155598,4640.0,1500.0,0.555439330543933,0.14848910751932537,0.5782967032967034,0.14189128762810996
0.02,0.6213333333333333,0.1326459980327152,4573.0,1500.0,0.5550906555090656,0.14585382993675333,0.5778388278388278,0.13936933230785742
0.03,0.6213333333333333,0.1325002732339976,4569.0,1500.0,0.5550906555090656,0.14585382993675333,0.5778388278388278,0.13929778747607718
0.04,0.6213333333333333,0.12900287806477467,4473.0,1500.0,0.5550906555090656,0.14581869290231905,0.5778388278388278,0.137562825305407
0.05,0.6213333333333333,0.12882072206637765,4468.0,1500.0,0.5550906555090656,0.14557273366127899,0.5778388278388278,0.13734819081006636
0.06,0.6213333333333333,0.12838354767022478,4456.0,1500.0,0.5547419804741981,0.14508081517919888,0.5776098901098901,0.13688314940349497
0.07,0.6213333333333333,0.1279463732740719,4444.0,1500.0,0.5547419804741981,0.14508081517919888,0.5776098901098901,0.13666851490815432
0.08,0.6213333333333333,0.1263798316878575,4401.0,1500.0,0.5547419804741981,0.14462403373155305,0.5776098901098901,0.1356668872632313
0.09,0.6213333333333333,0.12623410688913986,4397.0,1500.0,0.5547419804741981,0.14462403373155305,0.5776098901098901,0.1355953424314511
0.1,0.6213333333333333,0.12503187729971948,4364.0,1500.0,0.5547419804741981,0.14462403373155305,0.5776098901098901,0.13500509756926435
0.11,0.5053333333333333,0.08758060402929069,3162.0,1500.0,0.4490934449093445,0.10288123682361208,0.4684065934065934,0.09536926076302563
0.12,0.5053333333333333,0.08623264964115268,3125.0,1500.0,0.4490934449093445,0.10288123682361208,0.4684065934065934,0.09470747106905865
0.13,0.5053333333333333,0.08605049364275566,3120.0,1500.0,0.4490934449093445,0.10284609978917779,0.4684065934065934,0.09460015382138832
0.14,0.5053333333333333,0.08605049364275566,3120.0,1500.0,0.4490934449093445,0.10284609978917779,0.4684065934065934,0.09460015382138832
0.15,0.5053333333333333,0.085722612845641,3111.0,1500.0,0.4490934449093445,0.10284609978917779,0.4684065934065934,0.09443917794988285
0.16,0.5053333333333333,0.085722612845641,3111.0,1500.0,0.4490934449093445,0.10284609978917779,0.4684065934065934,0.09443917794988285
0.17,0.5053333333333333,0.08524900724980873,3098.0,1500.0,0.4490934449093445,0.1028109627547435,0.4684065934065934,0.0941887710386521
0.18,0.5053333333333333,0.08524900724980873,3098.0,1500.0,0.4490934449093445,0.1028109627547435,0.4684065934065934,0.0941887710386521
0.19,0.5053333333333333,0.08524900724980873,3098.0,1500.0,0.4490934449093445,0.1028109627547435,0.4684065934065934,0.0941887710386521
0.2,0.5053333333333333,0.08524900724980873,3098.0,1500.0,0.4490934449093445,0.1028109627547435,0.4684065934065934,0.0941887710386521
0.21,0.412,0.06437392983350941,2385.0,1500.0,0.36750348675034866,0.07624736472241743,0.38278388278388276,0.07041800067967591
0.22,0.412,0.06437392983350941,2385.0,1500.0,0.36750348675034866,0.07624736472241743,0.38278388278388276,0.07041800067967591
0.23,0.412,0.06437392983350941,2385.0,1500.0,0.36750348675034866,0.07624736472241743,0.38278388278388276,0.07041800067967591
0.24,0.412,0.06437392983350941,2385.0,1500.0,0.36750348675034866,0.07624736472241743,0.38278388278388276,0.07041800067967591
0.25,0.412,0.06437392983350941,2385.0,1500.0,0.36750348675034866,0.07624736472241743,0.38278388278388276,0.07041800067967591
0.26,0.412,0.06386389303799773,2371.0,1500.0,0.36750348675034866,0.07621222768798314,0.38278388278388276,0.0701497075605001
0.27,0.412,0.06382746183831833,2370.0,1500.0,0.36750348675034866,0.07621222768798314,0.38278388278388276,0.07013182135255505
0.28,0.412,0.06382746183831833,2370.0,1500.0,0.36750348675034866,0.07621222768798314,0.38278388278388276,0.07013182135255505
0.29,0.412,0.06382746183831833,2370.0,1500.0,0.36750348675034866,0.07621222768798314,0.38278388278388276,0.07013182135255505
0.3,0.412,0.06382746183831833,2370.0,1500.0,0.36750348675034866,0.07621222768798314,0.38278388278388276,0.07013182135255505
0.31,0.332,0.05111297315020583,1901.0,1500.0,0.2995118549511855,0.05941672522839073,0.3106684981684982,0.055339927381995745
0.32,0.332,0.05111297315020583,1901.0,1500.0,0.2995118549511855,0.05941672522839073,0.3106684981684982,0.055339927381995745
0.33,0.332,0.05111297315020583,1901.0,1500.0,0.2995118549511855,0.05941672522839073,0.3106684981684982,0.055339927381995745
0.34,0.3313333333333333,0.05023862435790011,1876.0,1500.0,0.2995118549511855,0.05924104005621925,0.31043956043956045,0.05482122735158919
0.35,0.3313333333333333,0.05023862435790011,1876.0,1500.0,0.2995118549511855,0.05924104005621925,0.31043956043956045,0.05482122735158919
0.36,0.3313333333333333,0.0501657619585413,1874.0,1500.0,0.29916317991631797,0.05924104005621925,0.3102106227106227,0.054785454935699085
0.37,0.3313333333333333,0.0501657619585413,1874.0,1500.0,0.29916317991631797,0.05924104005621925,0.3102106227106227,0.054785454935699085
0.38,0.3313333333333333,0.0501657619585413,1874.0,1500.0,0.29916317991631797,0.05924104005621925,0.3102106227106227,0.054785454935699085
0.39,0.3313333333333333,0.0501657619585413,1874.0,1500.0,0.29916317991631797,0.05924104005621925,0.3102106227106227,0.054785454935699085
0.4,0.3313333333333333,0.0501657619585413,1874.0,1500.0,0.29916317991631797,0.05924104005621925,0.3102106227106227,0.054785454935699085
0.41,0.2713333333333333,0.04182301723195745,1555.0,1500.0,0.24721059972105996,0.045783555867884754,0.2554945054945055,0.0438390956733263
0.42,0.2713333333333333,0.04182301723195745,1555.0,1500.0,0.24721059972105996,0.045783555867884754,0.2554945054945055,0.0438390956733263
0.43,0.2713333333333333,0.04182301723195745,1555.0,1500.0,0.24721059972105996,0.045783555867884754,0.2554945054945055,0.0438390956733263
0.44,0.2713333333333333,0.04182301723195745,1555.0,1500.0,0.24721059972105996,0.045783555867884754,0.2554945054945055,0.0438390956733263
0.45,0.2713333333333333,0.04182301723195745,1555.0,1500.0,0.24721059972105996,0.045783555867884754,0.2554945054945055,0.0438390956733263
0.46,0.2713333333333333,0.04175015483259864,1553.0,1500.0,0.24721059972105996,0.045748418833450454,0.2554945054945055,0.04378543704949114
0.47,0.2713333333333333,0.04175015483259864,1553.0,1500.0,0.24721059972105996,0.045748418833450454,0.2554945054945055,0.04378543704949114
0.48,0.2713333333333333,0.04175015483259864,1553.0,1500.0,0.24721059972105996,0.045748418833450454,0.2554945054945055,0.04378543704949114
0.49,0.2713333333333333,0.04175015483259864,1553.0,1500.0,0.24721059972105996,0.045748418833450454,0.2554945054945055,0.04378543704949114
0.5,0.2713333333333333,0.04175015483259864,1553.0,1500.0,0.24721059972105996,0.045748418833450454,0.2554945054945055,0.04378543704949114
