Protein,surface_res,cutoff_res
1GXD.A,504,39
1FFW.A,98,24
4DN4.L,310,34
1DFJ.E,103,25
7CEI.B,107,25
3MXW.L,327,35
1E4K.C,141,27
1KAC.B,101,24
1AVX.A,158,28
1PVH.B,139,27
3VLB.B,157,28
3SZK.E,107,25
1AK4.A,119,26
1TMQ.B,93,24
2SIC.E,173,29
3EOA.L,322,34
1AY7.A,85,23
1EXB.E,76,22
2BTF.A,267,33
3BX7.A,138,27
1AHW.A,325,35
2VIS.A,332,35
1OFU.A,214,31
4M76.B,130,26
1JPS.H,324,35
2HRK.B,102,24
3S9D.B,152,28
3BIW.A,352,35
3AAA.C,93,24
2O3B.A,170,28
2CFH.C,118,26
3F1P.B,90,24
1IRA.X,113,25
7CEI.A,73,22
4G6M.H,320,34
2AJF.E,147,27
1FFW.B,59,21
1T6B.X,491,39
2SIC.I,94,24
1KTZ.A,80,23
1TMQ.A,306,34
2HLE.B,107,25
3SZK.F,116,25
3VLB.A,286,33
3BX7.C,101,24
1DFJ.I,325,35
3L5W.L,326,35
1E6J.H,330,35
1KAC.A,143,27
1FLE.E,167,28
1KLU.D,165,28
2VXT.H,324,35
1JIW.I,84,23
1XQS.A,186,29
1AY7.B,67,22
3F1P.A,94,24
1GXD.C,167,28
4M76.A,188,29
1T6B.Y,122,26
1MQ8.B,129,26
1ZHI.A,162,28
2B42.B,141,27
2VDB.A,499,39
1F34.A,235,31
2J0T.A,128,26
1KXP.D,361,36
1US7.A,151,27
1ACB.E,172,29
1FC2.D,174,29
1BGX.H,332,35
1ML0.A,278,33
3DAW.A,278,33
2W9E.H,328,35
2A5T.B,214,31
1WEJ.H,327,35
1QA9.A,83,23
3G6D.L,329,35
3R9A.B,217,31
4G6J.H,320,34
1DE4.E,87,23
1DQJ.A,327,35
2FD6.H,327,35
2BTF.P,106,25
4FQI.H,332,35
1ACB.I,55,20
4JCV.E,177,29
1US7.B,156,28
2B42.A,269,33
1ZHH.A,240,32
1ZHI.B,108,25
3DAW.B,108,25
3HMX.L,329,35
2C0L.A,214,31
1VFB.A,166,28
2B4J.C,69,22
3V6Z.A,329,35
1GHQ.A,197,30
1QA9.B,82,23
2HQS.A,308,34
1MLC.A,327,35
2J0T.D,105,25
3EO1.A,330,35
2A5T.A,192,30
1KXP.A,250,32
3HI6.X,324,35
1JIW.P,332,35
3RVW.C,321,34
1S1Q.A,115,25
