residue,prediction value
1_1AK4.A,0.1327867024218222
2_1AK4.A,0.0639148347030628
3_1AK4.A,0.0273174922221113
4_1AK4.A,0.024080582893918505
5_1AK4.A,0.021634285236365878
6_1AK4.A,0.019926518225408363
7_1AK4.A,0.021194376552577904
8_1AK4.A,0.019926518225408363
9_1AK4.A,0.029547334879202122
10_1AK4.A,0.019926518225408363
11_1AK4.A,0.019926518225408363
12_1AK4.A,0.019926518225408363
13_1AK4.A,0.02427644878965056
14_1AK4.A,0.020730609900722546
15_1AK4.A,0.02243518709786218
16_1AK4.A,0.020730609900722546
17_1AK4.A,0.020730609900722546
18_1AK4.A,0.02333810010054087
19_1AK4.A,0.02427644878965056
20_1AK4.A,0.019926518225408363
21_1AK4.A,0.019926518225408363
22_1AK4.A,0.019926518225408363
23_1AK4.A,0.0273174922221113
24_1AK4.A,0.019926518225408363
25_1AK4.A,0.019926518225408363
26_1AK4.A,0.02333810010054087
27_1AK4.A,0.041953167327526665
28_1AK4.A,0.025251549957122692
29_1AK4.A,0.019926518225408363
30_1AK4.A,0.04532200975930058
31_1AK4.A,0.02626476328135292
32_1AK4.A,0.019926518225408363
33_1AK4.A,0.019926518225408363
34_1AK4.A,0.02333810010054087
35_1AK4.A,0.019926518225408363
36_1AK4.A,0.019926518225408363
37_1AK4.A,0.036929298905729546
38_1AK4.A,0.019926518225408363
39_1AK4.A,0.019926518225408363
40_1AK4.A,0.019926518225408363
41_1AK4.A,0.024536830404304055
42_1AK4.A,0.02552211663498671
43_1AK4.A,0.09276366867354897
44_1AK4.A,0.09978762702881998
45_1AK4.A,0.08003506239016428
46_1AK4.A,0.07307308505440577
47_1AK4.A,0.02552211663498671
48_1AK4.A,0.019926518225408363
49_1AK4.A,0.025251549957122692
50_1AK4.A,0.02156643495971918
51_1AK4.A,0.019926518225408363
52_1AK4.A,0.023199017292538024
53_1AK4.A,0.019926518225408363
54_1AK4.A,0.23594430103186684
55_1AK4.A,0.20613515498643803
56_1AK4.A,0.019926518225408363
57_1AK4.A,0.019926518225408363
58_1AK4.A,0.03195321340706317
59_1AK4.A,0.033226163550209416
60_1AK4.A,0.041953167327526665
61_1AK4.A,0.019926518225408363
62_1AK4.A,0.019926518225408363
63_1AK4.A,0.019926518225408363
64_1AK4.A,0.019926518225408363
65_1AK4.A,0.019926518225408363
66_1AK4.A,0.019926518225408363
67_1AK4.A,0.02380801558139877
68_1AK4.A,0.3047009498948956
69_1AK4.A,0.21911515414673569
70_1AK4.A,0.051835694133357806
71_1AK4.A,0.8663815802249913
72_1AK4.A,0.6993421156799767
73_1AK4.A,0.44499058666678665
74_1AK4.A,0.7321758008587691
75_1AK4.A,0.019926518225408363
76_1AK4.A,0.1429546139205495
77_1AK4.A,0.019926518225408363
78_1AK4.A,0.07580483378712825
79_1AK4.A,0.10732633070857582
80_1AK4.A,0.07023390682238667
81_1AK4.A,0.12546673876335487
82_1AK4.A,0.14930360270450896
83_1AK4.A,0.019926518225408363
84_1AK4.A,0.052267613538998905
85_1AK4.A,0.022644064494638908
86_1AK4.A,0.035920501573975416
87_1AK4.A,0.04532200975930058
88_1AK4.A,0.10435693084542755
89_1AK4.A,0.03882455161337343
90_1AK4.A,0.02427644878965056
91_1AK4.A,0.05132159113258303
92_1AK4.A,0.019926518225408363
93_1AK4.A,0.02552211663498671
94_1AK4.A,0.019926518225408363
95_1AK4.A,0.025251549957122692
96_1AK4.A,0.019926518225408363
97_1AK4.A,0.019926518225408363
98_1AK4.A,0.019926518225408363
99_1AK4.A,0.019926518225408363
100_1AK4.A,0.019926518225408363
101_1AK4.A,0.019926518225408363
102_1AK4.A,0.2652095334102004
103_1AK4.A,0.642644097548131
104_1AK4.A,0.45372225158786633
105_1AK4.A,0.10648807404634485
106_1AK4.A,0.0696253849757324
107_1AK4.A,0.17775615862684213
108_1AK4.A,0.019926518225408363
109_1AK4.A,0.019926518225408363
110_1AK4.A,0.019926518225408363
111_1AK4.A,0.019926518225408363
112_1AK4.A,0.019926518225408363
113_1AK4.A,0.019926518225408363
114_1AK4.A,0.019926518225408363
115_1AK4.A,0.019926518225408363
116_1AK4.A,0.019926518225408363
117_1AK4.A,0.03486564438717722
118_1AK4.A,0.04840867425930626
119_1AK4.A,0.019926518225408363
120_1AK4.A,0.10407613768850424
121_1AK4.A,0.9065539605391656
122_1AK4.A,0.05310508856194567
123_1AK4.A,0.09292424905626077
124_1AK4.A,0.17460748666428969
125_1AK4.A,0.3137923872941841
126_1AK4.A,0.5493885231647242
127_1AK4.A,0.019926518225408363
128_1AK4.A,0.019926518225408363
129_1AK4.A,0.019926518225408363
130_1AK4.A,0.019926518225408363
131_1AK4.A,0.03882455161337343
132_1AK4.A,0.019926518225408363
133_1AK4.A,0.033226163550209416
134_1AK4.A,0.04710163152571517
135_1AK4.A,0.019926518225408363
136_1AK4.A,0.0345480155841403
137_1AK4.A,0.02427644878965056
138_1AK4.A,0.019926518225408363
139_1AK4.A,0.019926518225408363
140_1AK4.A,0.02427644878965056
141_1AK4.A,0.02156643495971918
142_1AK4.A,0.019926518225408363
143_1AK4.A,0.0273174922221113
144_1AK4.A,0.033226163550209416
145_1AK4.A,0.02333810010054087
146_1AK4.A,0.02333810010054087
147_1AK4.A,0.0273174922221113
148_1AK4.A,0.05284705999188094
149_1AK4.A,0.10347410378061997
150_1AK4.A,0.019926518225408363
151_1AK4.A,0.03195321340706317
152_1AK4.A,0.02243518709786218
153_1AK4.A,0.020730609900722546
154_1AK4.A,0.020730609900722546
155_1AK4.A,0.02156643495971918
156_1AK4.A,0.019926518225408363
157_1AK4.A,0.020730609900722546
158_1AK4.A,0.019926518225408363
159_1AK4.A,0.02156643495971918
160_1AK4.A,0.028411184889135393
161_1AK4.A,0.021194376552577904
162_1AK4.A,0.019926518225408363
163_1AK4.A,0.04284108802250695
164_1AK4.A,0.0889236697570775
165_1AK4.A,0.4758739214067239
17_1AT3.A,0.1578068801987756
18_1AT3.A,0.06154099261695662
19_1AT3.A,0.019926518225408363
20_1AT3.A,0.13750605696816018
21_1AT3.A,0.019926518225408363
22_1AT3.A,0.019926518225408363
23_1AT3.A,0.019926518225408363
24_1AT3.A,0.019926518225408363
25_1AT3.A,0.019926518225408363
26_1AT3.A,0.019926518225408363
27_1AT3.A,0.019926518225408363
28_1AT3.A,0.019926518225408363
29_1AT3.A,0.019926518225408363
30_1AT3.A,0.019926518225408363
31_1AT3.A,0.15251398466216776
32_1AT3.A,0.08618678516838958
33_1AT3.A,0.08003506239016428
34_1AT3.A,0.019926518225408363
35_1AT3.A,0.44499058666678665
36_1AT3.A,0.0436065497379635
37_1AT3.A,0.45498441106264553
38_1AT3.A,0.019926518225408363
39_1AT3.A,0.11944640889554073
40_1AT3.A,0.019926518225408363
41_1AT3.A,0.0689203356237435
42_1AT3.A,0.2332466179074987
43_1AT3.A,0.3395904803460192
44_1AT3.A,0.2875313656850421
45_1AT3.A,0.019926518225408363
46_1AT3.A,0.18047768051524424
47_1AT3.A,0.4851520856050621
48_1AT3.A,0.019926518225408363
49_1AT3.A,0.019926518225408363
50_1AT3.A,0.21911515414673569
51_1AT3.A,0.18047768051524424
52_1AT3.A,0.4153057507039873
53_1AT3.A,0.12375929991855746
54_1AT3.A,0.3672627798134754
55_1AT3.A,0.019926518225408363
56_1AT3.A,0.4851520856050621
57_1AT3.A,0.019926518225408363
58_1AT3.A,0.019926518225408363
59_1AT3.A,0.019926518225408363
60_1AT3.A,0.5154283483614273
61_1AT3.A,0.4055349736890869
62_1AT3.A,0.11526404688022719
63_1AT3.A,0.17458202265543676
64_1AT3.A,0.03882455161337343
65_1AT3.A,0.019926518225408363
66_1AT3.A,0.028411184889135393
67_1AT3.A,0.019926518225408363
68_1AT3.A,0.019926518225408363
69_1AT3.A,0.05490516810835218
70_1AT3.A,0.019926518225408363
71_1AT3.A,0.019926518225408363
72_1AT3.A,0.019926518225408363
73_1AT3.A,0.019926518225408363
74_1AT3.A,0.019926518225408363
75_1AT3.A,0.019926518225408363
76_1AT3.A,0.019926518225408363
77_1AT3.A,0.08618678516838958
78_1AT3.A,0.05703860158630853
79_1AT3.A,0.019926518225408363
80_1AT3.A,0.019926518225408363
81_1AT3.A,0.019926518225408363
82_1AT3.A,0.019926518225408363
83_1AT3.A,0.019926518225408363
84_1AT3.A,0.019926518225408363
85_1AT3.A,0.019926518225408363
86_1AT3.A,0.019926518225408363
87_1AT3.A,0.019926518225408363
88_1AT3.A,0.019926518225408363
89_1AT3.A,0.05284705999188094
90_1AT3.A,0.11526404688022719
91_1AT3.A,0.019926518225408363
92_1AT3.A,0.019926518225408363
93_1AT3.A,0.4251435803076246
94_1AT3.A,0.019926518225408363
95_1AT3.A,0.019926518225408363
96_1AT3.A,0.07711182410633463
97_1AT3.A,0.3862231348752652
98_1AT3.A,0.49524303865429525
99_1AT3.A,0.4758739214067239
100_1AT3.A,0.416085561416081
101_1AT3.A,0.2212944382263899
102_1AT3.A,0.24859925383804396
103_1AT3.A,0.46969732211107956
111_1AT3.A,0.5611928824875719
112_1AT3.A,0.43565148133820014
113_1AT3.A,0.2638481176049809
114_1AT3.A,0.06652781425280674
115_1AT3.A,0.03463093778696045
116_1AT3.A,0.05805883106354638
117_1AT3.A,0.019926518225408363
118_1AT3.A,0.019926518225408363
119_1AT3.A,0.03212980327731352
120_1AT3.A,0.4851520856050621
121_1AT3.A,0.019926518225408363
122_1AT3.A,0.019926518225408363
123_1AT3.A,0.02285147663429732
124_1AT3.A,0.34382186475418997
125_1AT3.A,0.019926518225408363
126_1AT3.A,0.019926518225408363
127_1AT3.A,0.019926518225408363
128_1AT3.A,0.019926518225408363
129_1AT3.A,0.3672627798134754
130_1AT3.A,0.019926518225408363
131_1AT3.A,0.44499058666678665
132_1AT3.A,0.5053378686527814
133_1AT3.A,0.4350410568021525
141_1AT3.A,0.12375929991855746
142_1AT3.A,0.0639148347030628
143_1AT3.A,0.22610274848960288
144_1AT3.A,0.19909306097328355
145_1AT3.A,0.39583844587303485
146_1AT3.A,0.019926518225408363
147_1AT3.A,0.2875313656850421
148_1AT3.A,0.45498441106264553
149_1AT3.A,0.019926518225408363
150_1AT3.A,0.019926518225408363
151_1AT3.A,0.019926518225408363
152_1AT3.A,0.019926518225408363
153_1AT3.A,0.019926518225408363
154_1AT3.A,0.5361810547207704
155_1AT3.A,0.019926518225408363
156_1AT3.A,0.47507322411352865
157_1AT3.A,0.019926518225408363
158_1AT3.A,0.13750605696816018
159_1AT3.A,0.019926518225408363
160_1AT3.A,0.019926518225408363
161_1AT3.A,0.019926518225408363
162_1AT3.A,0.019926518225408363
163_1AT3.A,0.021634285236365878
164_1AT3.A,0.019926518225408363
165_1AT3.A,0.19909306097328355
166_1AT3.A,0.05703860158630853
