Threshold,Global_Dbmark_TPR,Global_Dbmark_FPR,Global_NOX_TPR,Global_NOX_FPR,Global_Total_TPR,Global_Total_FPR
0,1,1,1,1,1,1
0.01,0.590572,0.14507,0.454138,0.151622,0.500342,0.148475
0.02,0.581145,0.138059,0.451379,0.14565,0.495325,0.142003
0.03,0.575084,0.1298,0.448621,0.137641,0.491448,0.133874
0.04,0.563636,0.119338,0.444138,0.125933,0.484607,0.122765
0.05,0.558249,0.113134,0.43931,0.120198,0.47959,0.116805
0.06,0.547475,0.102195,0.433793,0.111613,0.472292,0.107089
0.07,0.533333,0.096762,0.431724,0.106692,0.466135,0.101922
0.08,0.519192,0.090595,0.421034,0.10055,0.454276,0.095768
0.09,0.507071,0.084025,0.412069,0.093559,0.444242,0.088979
0.1,0.50303,0.081198,0.408966,0.091048,0.440821,0.086316
0.11,0.496296,0.079583,0.402759,0.088774,0.434436,0.084359
0.12,0.482828,0.07415,0.393103,0.083413,0.423489,0.078963
0.13,0.474747,0.067212,0.384483,0.078628,0.415051,0.073144
0.14,0.462626,0.064423,0.374138,0.073945,0.404105,0.06937
0.15,0.454545,0.062587,0.369655,0.072044,0.398404,0.067501
0.16,0.444444,0.060752,0.366897,0.071399,0.393158,0.066285
0.17,0.434343,0.05899,0.358966,0.068549,0.384493,0.063957
0.18,0.418855,0.055943,0.342414,0.065698,0.368301,0.061012
0.19,0.40202,0.053227,0.328276,0.062237,0.35325,0.057909
0.2,0.389899,0.049042,0.316897,0.058979,0.341619,0.054206
0.21,0.383165,0.048014,0.313103,0.05752,0.33683,0.052954
0.22,0.375758,0.045004,0.302759,0.053312,0.32748,0.049321
0.23,0.369697,0.04427,0.298966,0.052294,0.322919,0.048439
0.24,0.367677,0.043609,0.298276,0.052023,0.321779,0.047981
0.25,0.350168,0.041737,0.288621,0.049817,0.309464,0.045935
0.26,0.340067,0.040232,0.28,0.048493,0.300342,0.044525
0.27,0.334007,0.039314,0.272414,0.047713,0.293273,0.043678
0.28,0.321886,0.037112,0.261379,0.045337,0.28187,0.041386
0.29,0.305051,0.033404,0.231034,0.039738,0.2561,0.036695
0.3,0.300337,0.032523,0.22931,0.03889,0.253364,0.035831
0.31,0.295623,0.031716,0.219655,0.037227,0.245382,0.034579
0.32,0.288889,0.030871,0.215172,0.035869,0.240137,0.033469
0.33,0.281481,0.028926,0.212759,0.034682,0.236032,0.031917
0.34,0.278114,0.028742,0.212069,0.034546,0.234436,0.031758
0.35,0.272727,0.027935,0.20931,0.034105,0.230787,0.031141
0.36,0.268687,0.027494,0.206552,0.033019,0.227594,0.030365
0.37,0.261279,0.02698,0.203448,0.032069,0.223033,0.029624
0.38,0.253872,0.025659,0.193793,0.030406,0.214139,0.028126
0.39,0.248485,0.025035,0.190345,0.029897,0.210034,0.027561
0.4,0.242424,0.024484,0.183448,0.028947,0.203421,0.026803
0.41,0.235017,0.023346,0.174138,0.027963,0.194755,0.025745
0.42,0.230303,0.022355,0.167241,0.026911,0.188597,0.024722
0.43,0.219529,0.020263,0.155172,0.024739,0.176967,0.022589
0.44,0.211448,0.019786,0.149655,0.023755,0.170582,0.021848
0.45,0.208754,0.019308,0.147586,0.023144,0.168301,0.021301
0.46,0.201347,0.017914,0.14,0.020259,0.160775,0.019132
0.47,0.189899,0.016335,0.128276,0.018223,0.149145,0.017316
0.48,0.185859,0.016005,0.124828,0.017612,0.145496,0.01684
0.49,0.184512,0.015674,0.124483,0.017443,0.144812,0.016593
0.5,0.179125,0.015417,0.123103,0.016934,0.142075,0.016205
0.51,0.177104,0.015014,0.118966,0.016662,0.138655,0.01587
0.52,0.176431,0.014867,0.117931,0.016289,0.137742,0.015606
0.53,0.16835,0.014169,0.114138,0.015712,0.132497,0.014971
0.54,0.16229,0.013802,0.111379,0.015237,0.12862,0.014548
0.55,0.160943,0.013509,0.108966,0.014898,0.126568,0.01423
0.56,0.158923,0.013178,0.108276,0.014728,0.125428,0.013983
0.57,0.145455,0.012664,0.102414,0.014388,0.11699,0.01356
0.58,0.142088,0.012334,0.098276,0.014117,0.113113,0.01326
0.59,0.141414,0.012224,0.096552,0.013913,0.111745,0.013102
0.6,0.139394,0.011673,0.09069,0.012522,0.107184,0.012114
