Threshold,Global_TPR,Global_FPR,,AUC
0,1,1,,-0.804
0.01,0.618,0.196,,
0.02,0.613,0.188,,
0.03,0.608,0.183,,
0.04,0.605,0.168,,
0.05,0.597,0.157,,
0.06,0.595,0.148,,
0.07,0.595,0.141,,
0.08,0.579,0.129,,
0.09,0.561,0.12,,
0.1,0.545,0.116,,
0.11,0.535,0.111,,
0.12,0.516,0.105,,
0.13,0.509,0.096,,
0.14,0.501,0.094,,
0.15,0.485,0.092,,
0.16,0.48,0.089,,
0.17,0.459,0.086,,
0.18,0.438,0.081,,
0.19,0.422,0.076,,
0.2,0.409,0.071,,
0.21,0.404,0.069,,
0.22,0.396,0.066,,
0.23,0.389,0.065,,
0.24,0.386,0.063,,
0.25,0.365,0.061,,
0.26,0.355,0.058,,
0.27,0.352,0.057,,
0.28,0.342,0.055,,
0.29,0.323,0.051,,
0.3,0.323,0.05,,
0.31,0.323,0.048,,
0.32,0.313,0.047,,
0.33,0.305,0.045,,
0.34,0.3,0.044,,
0.35,0.287,0.041,,
0.36,0.287,0.041,,
0.37,0.274,0.04,,
0.38,0.263,0.038,,
0.39,0.253,0.038,,
0.4,0.253,0.038,,
0.41,0.245,0.035,,
0.42,0.237,0.034,,
0.43,0.216,0.03,,
0.44,0.211,0.029,,
0.45,0.211,0.029,,
0.46,0.201,0.026,,
0.47,0.19,0.024,,
0.48,0.187,0.023,,
0.49,0.187,0.023,,
0.5,0.185,0.023,,
0.51,0.182,0.023,,
0.52,0.18,0.023,,
0.53,0.177,0.021,,
0.54,0.172,0.021,,
0.55,0.169,0.02,,
0.56,0.167,0.019,,
0.57,0.146,0.018,,
0.58,0.143,0.018,,
0.59,0.143,0.018,,
0.6,0.135,0.017,,
0.61,0.13,0.016,,
0.62,0.127,0.015,,
0.63,0.125,0.015,,
0.64,0.125,0.014,,
0.65,0.12,0.014,,
0.66,0.117,0.013,,
0.67,0.104,0.013,,
0.68,0.101,0.012,,
0.69,0.101,0.012,,
0.7,0.099,0.012,,
0.71,0.093,0.01,,
0.72,0.093,0.009,,
0.73,0.086,0.009,,
0.74,0.086,0.008,,
0.75,0.086,0.008,,
0.76,0.08,0.008,,
0.77,0.075,0.007,,
0.78,0.075,0.007,,
0.79,0.075,0.007,,
0.8,0.073,0.007,,
0.81,0.073,0.007,,
0.82,0.073,0.006,,
0.83,0.065,0.006,,
0.84,0.065,0.006,,
0.85,0.065,0.006,,
0.86,0.06,0.006,,
0.87,0.057,0.006,,
0.88,0.057,0.006,,
0.89,0.049,0.006,,
0.9,0.049,0.006,,
0.91,0.046,0.006,,
0.92,0.044,0.005,,
0.93,0.036,0.004,,
0.94,0.031,0.004,,
0.95,0.031,0.004,,
0.96,0.028,0.004,,
0.97,0.026,0.004,,
0.98,0.023,0.004,,
0.99,0.023,0.004,,
1,0.023,0.004,,
1.01,0,0,,
1.02,0,0,,
1.03,0,0,,
1.04,0,0,,
1.05,0,0,,
1.06,0,0,,
1.07,0,0,,
1.08,0,0,,
1.09,0,0,,
