residue,predus,ispred,dockpred,rfscore,annotated
7_1DFJ.E,0.0,0.02,0.033,0.0,1.0
11_1DFJ.E,0.0,0.08,0.019,0.0,1.0
24_1DFJ.E,0.0,0.02,0.076,0.0,1.0
31_1DFJ.E,0.0,0.03,0.105,0.0,1.0
35_1DFJ.E,0.0,0.0,0.008,0.0,1.0
38_1DFJ.E,0.079,0.02,0.07,0.0,1.0
39_1DFJ.E,0.131,0.05,0.096,0.0,1.0
41_1DFJ.E,0.0,0.02,0.041,0.0,1.0
42_1DFJ.E,0.0,0.04,0.069,0.0,1.0
43_1DFJ.E,0.0,0.01,0.052,0.0,1.0
66_1DFJ.E,0.037,0.01,0.107,0.0,1.0
67_1DFJ.E,0.0,0.01,0.111,1.0,1.0
71_1DFJ.E,0.061,0.01,0.341,0.0,1.0
86_1DFJ.E,0.0,0.04,0.056,0.0,1.0
88_1DFJ.E,0.079,0.02,0.053,0.0,1.0
89_1DFJ.E,0.194,0.02,0.051,0.0,1.0
91_1DFJ.E,0.13,0.01,0.092,0.6,1.0
111_1DFJ.E,0.116,0.01,0.201,0.0,1.0
6_1DFJ.I,0.0,0.98,0.424,0.0,1.0
89_1DFJ.I,0.245,0.81,0.366,0.2,1.0
117_1DFJ.I,0.554,0.93,0.45,0.4,1.0
202_1DFJ.I,0.217,0.97,0.437,0.8,1.0
257_1DFJ.I,0.0,0.93,0.204,1.0,1.0
259_1DFJ.I,0.0,0.99,0.425,1.0,1.0
283_1DFJ.I,0.0,0.36,0.078,0.0,1.0
316_1DFJ.I,0.0,0.92,0.418,0.1,1.0
397_1DFJ.I,0.0,0.09,0.124,0.9,1.0
404_1DFJ.I,0.146,0.36,0.266,0.7,1.0
405_1DFJ.I,0.164,0.0,0.171,0.0,1.0
428_1DFJ.I,0.164,0.0,0.101,0.0,1.0
430_1DFJ.I,0.164,0.97,0.786,0.8,1.0
431_1DFJ.I,0.201,0.92,1.0,0.5,1.0
433_1DFJ.I,0.339,0.24,0.77,0.3,1.0
436_1DFJ.I,0.103,0.03,0.477,0.0,1.0
453_1DFJ.I,0.0,0.06,0.36,0.0,1.0
456_1DFJ.I,0.141,0.06,0.7,0.1,1.0
58_1DHK.A,0.371,0.0,0.079,0.0,1.0
59_1DHK.A,0.4,0.58,0.165,0.5,1.0
62_1DHK.A,0.0,0.0,0.015,0.0,1.0
63_1DHK.A,0.0,0.0,0.113,0.0,1.0
101_1DHK.A,0.0,0.0,0.005,0.0,1.0
148_1DHK.A,0.0,0.92,0.122,0.0,1.0
149_1DHK.A,0.0,0.9,0.176,0.0,1.0
151_1DHK.A,0.548,0.98,0.201,0.9,1.0
156_1DHK.A,0.282,0.0,0.039,0.7,1.0
162_1DHK.A,0.0,0.0,0.075,0.0,1.0
197_1DHK.A,0.0,0.0,0.006,0.0,1.0
200_1DHK.A,0.0,0.0,0.044,0.0,1.0
201_1DHK.A,0.0,0.0,0.035,0.0,1.0
233_1DHK.A,0.0,0.0,0.024,0.0,1.0
235_1DHK.A,0.0,0.68,0.081,0.0,1.0
239_1DHK.A,0.371,0.97,0.218,0.2,1.0
240_1DHK.A,0.548,0.9,0.179,0.4,1.0
256_1DHK.A,0.0,0.0,0.044,0.0,1.0
298_1DHK.A,0.0,0.0,0.01,0.0,1.0
300_1DHK.A,0.0,0.98,0.124,1.0,1.0
303_1DHK.A,0.0,0.0,0.087,0.0,1.0
305_1DHK.A,0.282,0.94,0.229,0.1,1.0
309_1DHK.A,0.371,0.97,0.454,0.6,1.0
310_1DHK.A,0.371,0.6,0.186,0.1,1.0
311_1DHK.A,0.0,0.29,0.108,0.0,1.0
352_1DHK.A,0.4,0.88,0.343,0.4,1.0
137_1DOR.A,0.0,0.53,0.274,0.1,1.0
138_1DOR.A,0.0,0.0,0.371,1.0,1.0
169_1DOR.A,0.668,0.94,1.0,0.1,1.0
170_1DOR.A,0.399,0.94,0.623,0.4,1.0
172_1DOR.A,0.399,0.98,0.162,0.1,1.0
197_1DOR.A,0.188,0.94,0.787,0.9,1.0
198_1DOR.A,0.399,0.96,0.668,0.8,1.0
199_1DOR.A,0.527,0.96,0.834,0.9,1.0
201_1DOR.A,1.0,0.99,0.541,0.0,1.0
203_1DOR.A,0.882,0.89,0.233,0.2,1.0
204_1DOR.A,0.668,0.91,0.063,0.4,1.0
205_1DOR.A,0.242,0.89,0.014,0.4,1.0
206_1DOR.A,0.0,0.91,0.144,0.0,1.0
207_1DOR.A,0.242,0.98,0.052,0.2,1.0
208_1DOR.A,0.527,0.98,0.075,0.5,1.0
214_1DOR.A,0.0,0.89,0.262,0.2,1.0
216_1DOR.A,0.188,0.99,0.779,0.7,1.0
223_1DOR.A,0.404,0.98,0.685,0.2,1.0
226_1DOR.A,0.0,0.95,0.403,0.0,1.0
230_1DOR.A,0.404,0.88,0.152,0.5,1.0
263_1DOR.A,0.0,0.0,0.024,0.25,1.0
296_1DOR.A,0.114,0.14,0.034,0.0,1.0
298_1DOR.A,0.242,0.1,0.025,0.2,1.0
309_1DOR.A,0.0,0.91,0.07,0.1,1.0
310_1DOR.A,0.0,0.89,0.081,0.0,1.0
65_1DOW.A,0.0,0.97,0.238,1.0,1.0
68_1DOW.A,0.0,0.97,0.212,0.9,1.0
69_1DOW.A,0.0,0.0,0.088,0.0,1.0
79_1DOW.A,0.0,0.99,0.032,0.0,1.0
82_1DOW.A,0.0,0.35,0.041,0.0,1.0
115_1DOW.A,0.0,0.11,0.144,0.0,1.0
116_1DOW.A,0.0,0.74,0.133,0.2,1.0
121_1DOW.A,0.0,0.88,0.333,0.8,1.0
142_1DOW.A,0.191,0.94,0.025,0.5,1.0
143_1DOW.A,0.0,0.9,0.269,0.1,1.0
