predus	ispred	dockpred	rfscore	logreg
0.0	0.0	0.01764	0.0	0.0021923131762955246
0.0	0.17	0.05572	0.0	0.003221345383541503
0.0	0.0	0.03469	0.0	0.0025640433158093077
0.0	0.15	0.04091	0.0	0.0028002347547573005
0.0	0.16	0.02098	0.0	0.0023366525672955784
0.0	0.08	0.04485	0.0	0.0028617075315660848
0.0	0.06	0.02098	0.0	0.0022888460398100595
0.0	0.02	0.02447	0.0	0.0023439594066815258
0.0	0.0	0.02393	0.0	0.0023227375339739203
0.0	0.02	0.03195	0.0	0.0025106764254189664
0.0	0.05	0.03206	0.0	0.0025288452060411443
0.0	0.29	0.03682	0.0	0.002776171805263066
0.0	0.0	0.00016	0.0	0.0018669813133827433
0.035	0.0	0.01147	0.0	0.0032296178980254185
0.0	0.05	0.02955	0.0	0.0024712097493152308
0.0	0.19	0.00601	0.0	0.0020490490971181575
0.0	0.03	0.01103	0.0	0.0020759587542887987
0.0	0.02	0.00994	0.0	0.002051023894984644
0.0	0.0	0.00442	0.0	0.0019415281134871154
0.0	0.03	0.01529	0.0	0.002158831778613761
0.0	0.01	0.01207	0.0	0.002087243872604865
0.0	0.07	0.00251	0.0	0.0019355610189183384
0.0	0.0	0.00066	0.0	0.001875580796437252
0.0	0.0	0.00082	0.0	0.0018783409722005404
0.0	0.0	0.00464	0.0	0.001945457621203784
0.0	0.0	0.00262	0.0	0.0019096737192271598
0.0	0.0	0.0	0.0	0.0018642377991803117
0.0	0.0	0.0	0.0	0.0018642377991803117
0.0	0.0	0.00262	0.0	0.0019096737192271598
0.0	0.0	0.00918	0.0	0.0020283439566433177
0.0	0.0	0.06145	0.0	0.003278159830881065
0.0	0.32	0.63932	0.20035256410256408	0.4183111013742789
0.0	0.65	0.1743	0.2137937062937063	0.010525630393562859
0.0	0.82	0.51652	0.657	0.20474671582461387
0.0	0.43	0.13891	0.007290566576280862	0.007283570786212304
0.121	0.0	0.40438	0.0	0.26501416506097714
0.0	0.0	0.38898	0.028945578231292516	0.06290208930256047
0.0	0.0	0.00344	0.0	0.0019241199575908497
0.0	0.0	0.0	0.0	0.0018642377991803117
0.0	0.0	0.0	0.0	0.0018642377991803117
0.0	0.0	0.00115	0.0	0.001884046645726676
0.0	0.0	0.03387	0.0	0.002544804801076767
0.0	0.17	0.04326	0.0	0.002873162764850969
0.0	0.25	0.0537	0.0	0.0032148494881335107
0.0	0.11	0.02098	0.0	0.0023126260613099817
0.0	0.0	0.01748	0.0	0.0021890926380087896
0.0	0.0	0.0	0.0	0.0018642377991803117
0.0	0.0	0.0	0.0	0.0018642377991803117
0.0	0.0	0.00055	0.0	0.0018736855243457497
