"Csf-1"	"Csf-2"	"Csf-3"	"Csf-4"	"Csf-5"
-13.5361	-5.5265	-2.30944	-1.40235	-2.30944
-10.38618	-7.1325	-2.43624	1.18462	-1.93924
-10.79393	-7.1651	0.10988	1.56341	0.10988
-6.09452	-3.8177	-2.0761	0.0229	-2.0761
-4.6719	-2.7851	-2.72366	-0.8169	-2.72366
-8.06647	-3.7801	0.02614	0.27516	-0.66423
-4.66383	-4.689	-1.69418	-1.43483	-1.69418
-9.8776	-7.4021	-2.1795	-1.61252	-2.1795
-11.35252	-5.2308	-2.89638	-0.24456	-2.89638
-30.73073	-10.6012	-2.73572	-1.70974	-2.55543
-9.03151	-6.6244	-0.49123	-1.30479	-0.94503
-13.43623	-6.8017	-1.45007	-0.69665	-1.45007
-5.34549	-0.9303	-1.53942	-1.44835	-1.53942
-4.70071	-1.2233	-1.7344	-1.32419	-1.02516
-7.86078	-1.735	-1.25755	0.13472	-1.42057
-16.04309	-6.6241	-3.76876	0.39395	-3.76876
-10.88718	-6.2454	1.88438	0.97787	1.88438
-11.66856	-6.8948	0.87072	-2.03238	0.87072
-10.62911	-6.7486	-1.48476	-0.62566	-1.48476
-12.18098	-7.3839	-1.65559	-1.36785	-1.37268
-10.25901	-6.3151	-2.9227	-0.63596	-2.9227
-5.6027	-4.5543	-0.12881	-1.6042	-0.12881
-5.81192	-4.7578	-1.1147	0.44808	-0.77107
-14.20313	-7.48	-3.05201	-3.15403	-3.05201
-11.00499	-6.2069	-2.01663	0.12697	-2.01663
-11.19627	-6.1076	-2.69173	1.05283	-2.69173
-4.24146	-5.2526	-3.30061	-0.72918	-3.30061
-10.11516	-9.1266	-1.99927	-1.79558	-1.99927
-11.69646	-6.7714	-1.41315	-0.61182	-1.41315
-11.80553	-6.9437	-3.31571	-1.14711	-1.86424
-8.80246	-4.3349	-0.62377	-0.52862	-0.62377
-9.1491	-4.9685	-2.49851	-2.5502	-2.93263
-7.44579	-3.7722	-3.23408	-1.93364	-2.23538
-10.16545	-6.2171	-1.24898	-2.49522	-1.24898
-10.31454	-4.101	-0.81428	-0.03363	-0.81428
-9.36859	-5.1979	-0.70794	-1.4541	-0.70794
-8.2673	-4.5116	-3.13017	-1.38383	-3.11173
-6.96189	-2.5516	-0.19349	0.25943	-0.19349
-11.51435	-5.4499	2.81227	-0.08763	2.81227
-8.35605	-5.9234	0.87334	0.65278	0.87334
-7.90094	-3.6386	-4.90687	-1.01693	-3.72407
-9.94297	-4.1779	-2.46848	-1.60925	-2.46848
-22.25045	-6.1667	-3.64406	-0.06005	-2.5169
-8.0884	-6.0231	-2.85718	0.5585	-2.85718
-8.34529	-5.8944	-3.06539	0.50855	-3.06539
-8.08289	-5.7346	-2.03295	0.17551	0.02627
-23.57618	-8.3836	-2.86695	-0.89134	-3.40381
-4.30482	-4.5528	-1.72075	-0.23359	-0.80903
-16.27454	-3.9756	-2.59893	-2.46668	-2.26096
-10.46066	-2.9967	-0.64836	0.73063	-0.17159
-8.635	-5.2469	-2.46495	-0.78333	-2.46495
-8.0126	-2.2368	1.25753	0.4587	1.25753
-12.778	-4.0908	-1.57493	-1.49348	-0.59424
-20.15622	-5.8049	-1.54625	-1.23506	0.21099
-13.06309	-3.8226	-1.93511	-0.76319	-1.93511
-12.14026	-4.1946	-2.93653	-2.58181	-2.93653
-9.71094	-3.9493	-3.55191	-2.17694	-4.06599
-1.26847	-4.1921	-1.46957	-1.85115	-1.46957
-4.19568	-1.4986	-1.64078	-1.67677	-1.64078
-2.59275	-1.4953	-2.64753	0.69543	-2.64753
-35.58325	-9.5387	-1.58777	-0.21453	-1.58777
-9.8923	-4.3008	-2.85115	-0.60697	-2.85115
-20.50721	-8.5462	-0.90198	1.6418	-0.90198
-23.11543	-9.0278	-2.01158	-1.17677	-2.01158
-17.76235	-5.8357	-1.28873	-1.90568	-1.28873
-13.00822	-3.6726	-1.15089	-0.92075	-1.15089
-31.73822	-10.7378	-0.21922	-0.64517	-1.34998
-37.74202	-10.122	-4.00068	-0.53286	-4.00068
-21.70941	-9.6142	-1.42997	-0.2717	-1.42997
-9.80317	-3.5573	-1.09287	0.47478	-1.09287
-9.12095	-4.5774	-0.91678	0.01127	-0.91678
-9.61773	-5.2027	-0.89371	0.00097	-0.36102
-11.48679	-5.0919	-1.30556	-0.10881	-0.57726
-5.77147	-5.5849	-0.94063	0.51067	-0.94063
-9.55097	-4.4712	-3.45641	-0.90334	-3.45641
-8.45262	-6.602	-0.79254	-1.22031	-1.10205
-7.93929	-6.185	-0.50792	-2.07154	-0.50792
-9.79207	-5.2209	-1.40225	-0.32682	-0.13838
-12.13735	-5.5904	-1.04582	-0.44389	-1.04582
-12.28342	-5.4977	0.34523	1.18946	0.34523
-6.66821	-3.5035	-2.43119	0.36164	-2.45617
-11.3066	-6.5284	-0.97009	-0.24631	-1.7557
-9.71085	-5.3795	-2.82043	-0.65142	-2.82043
-9.6142	-5.5508	-2.44797	-1.7111	-2.44797
-16.79029	-6.1416	-1.03414	-0.74269	-1.03414
-9.62967	-5.8999	-1.55822	-1.60633	-1.55822
-11.93706	-6.863	-2.31551	-1.3667	-2.31551
-8.44875	-5.7324	-2.59701	2.30757	-2.59701
-12.98688	-5.7656	-3.32028	-1.26373	-1.92978
-11.1686	-5.5876	-3.09486	-1.20604	-3.09486
-5.13449	-2.4766	-3.78231	-0.70823	-2.86447
-2.80504	-3.0246	-2.79713	0.01457	-2.79713
-11.06834	-6.1788	-3.02168	-0.21774	-3.02168
-8.81349	-3.8735	-0.87828	-2.14167	-0.87828
-28.37597	-8.7658	-2.43248	1.36498	-2.43248
-13.00834	-6.9859	-3.35125	-0.84067	-0.30473
-10.71616	-6.1434	-0.65625	0.63379	-0.63245
-11.40064	-6.4063	-1.8384	0.2787	-0.28508
-10.80179	-5.2435	-1.13424	-0.04178	-1.13424
-9.1021	-6.013	-3.43819	-1.15001	-3.43819
-8.89546	-2.9905	-1.39584	-0.23279	-1.39584
-8.66461	-3.8987	-3.04629	-0.93212	-3.32133
-15.41792	-5.9709	-0.12783	0.10752	-0.12783
-9.18651	-4.5065	-1.67171	0.63706	-1.67171
-8.10575	-3.6773	-2.05326	-0.08651	-2.05326
-10.85422	-6.6932	-2.29348	-0.84841	-2.29348
-8.18536	-5.4316	-3.12747	0.07291	-3.16828
-5.22355	-3.4365	-0.72861	0.08077	-1.70055
-4.6701	-1.9693	-2.9818	-1.42783	-2.9818
-12.99416	-7.4864	-3.03722	-3.07131	-2.4342
-12.16742	-6.069	-3.36711	-0.36408	-3.36711
-6.67968	-1.2889	-2.79016	0.18448	-2.09572
-6.74868	-1.9687	-3.50562	-0.4009	-1.19312
-8.22425	-3.2465	-0.50328	0.88239	-0.50328
-10.80677	-7.1007	-2.84418	0.3371	-2.84418
-12.38443	-5.5764	-1.56457	0.45245	-1.56457
-7.58289	-1.82	-1.47419	0.17335	-1.57673
-6.46247	-5.6959	-1.2205	-0.48655	-1.2205
-4.02045	-4.3904	-2.1181	0.01321	-2.1181
-5.33465	-1.7768	-2.35818	-1.98872	-2.73215
-10.71144	-5.4049	-0.58199	-1.97229	-0.58199
-8.8836	-3.9212	-2.94161	-2.41452	-2.94161
-3.01141	-2.7686	-3.91484	-0.1676	-2.01867
-2.85246	-3.4946	-3.50819	-3.36736	-3.50819
-3.8664	-2.5296	-3.86462	0.29185	-3.86462
-10.13728	-4.6157	-0.51157	-1.49445	-0.51157
-4.05436	-2.3062	-1.55475	-1.91321	-1.55475
-12.28284	-5.0391	-3.77916	-0.18657	-3.77916
-8.95483	-6.0667	0.80349	-0.13823	0.80349
-8.58582	-3.847	-2.9736	-1.21458	-2.9736
-9.60527	-4.2399	-3.94787	0.83502	-3.94787
-2.62729	-1.9544	-2.5334	-0.46805	-2.13459
-1.92495	-5.1171	-2.91979	-2.48729	-2.76646
-10.25309	-5.1007	-2.51604	-1.20738	-2.51604
-5.52687	-3.4494	-1.91358	-1.50084	-1.91358
-5.26284	-2.6243	-0.91419	-1.38597	-0.91419
-10.49167	-5.2773	-0.3451	-0.74959	-0.5274
-7.1794	-3.2677	-4.09449	-1.53585	-4.09449
-10.71561	-5.2398	-1.70723	0.05406	-1.70723
-8.79253	-3.3553	-3.59563	0.3192	-3.50978
-10.96072	-2.7852	-2.61338	0.17504	-2.61338
-12.63901	-5.1399	0.57455	-1.01479	-1.62747
-7.75909	-3.0452	-2.85562	-0.28583	-2.85562
-5.27579	-2.6653	-0.90715	-0.59149	-1.10609
-3.63366	-3.687	-3.05995	-2.76553	-2.77753
-4.98708	-2.8654	-0.99059	1.40772	0.07555
-11.86144	-7.3957	-1.02779	-1.439	-1.02779
-4.05319	-4.5679	-2.37699	-0.86707	-2.37699
-2.09742	-1.9309	-1.83782	0.82852	-1.83782
-8.258	-3.2762	-2.98906	-0.89106	-2.98906
-4.95613	-3.5614	-1.44993	0.52962	-1.44993
-11.96213	-3.8687	0.07456	-0.39196	-1.04692
-7.79575	-3.6685	-0.56628	-0.94699	-1.16446
-4.45537	-3.3768	-0.80757	-1.77996	-0.80757
-4.50539	-1.1148	-2.84706	-0.46961	-2.84706
-4.52206	-2.1472	-2.19444	0.48087	-1.40973
-10.88643	-5.1832	-1.469	-0.05915	-1.01377
-25.69803	-4.2801	-2.32683	-1.01681	-0.40534
-16.70538	-5.2744	-1.78549	-0.25309	-1.78549
-13.8894	-7.2582	-0.82201	0.53575	-0.82201
-15.68406	-7.6971	-0.60855	-1.78296	-1.23142
-9.35912	-5.457	-1.08022	-0.02978	-1.08022
-8.95785	-5.8637	-2.46097	-0.17969	-2.46097
-3.61569	-2.5772	-3.62604	-0.90024	-3.62604
-4.1127	-3.6333	-2.5657	0.36423	-2.5657
-13.4044	-4.2141	-2.04888	-0.69906	-2.04888
-3.08215	-3.7277	-2.25267	-0.27055	-2.25267
-14.2457	-6.1232	-1.54827	0.54588	-0.85166
-11.01068	-4.339	-3.30617	-1.91052	-3.30617
-9.65753	-5.1568	-2.0086	-2.1594	-0.95862
-15.32438	-7.0858	-0.87726	0.63331	-0.48636
-9.4024	-4.2345	-2.18727	-1.35139	-2.18727
-7.62425	-5.6344	-1.11656	-0.74862	-1.11656
-9.89257	-4.9152	-1.93492	-1.26245	-0.68669
-10.50438	-4.1307	-0.51807	-0.415	-0.51807
-9.6321	-6.046	-0.39328	-0.815	-0.29416
-9.50359	-5.8789	-3.11725	-0.05736	-3.11725
-10.49456	-5.5713	-1.01114	0.65044	-0.11479
-7.16698	-5.5201	-1.31291	-0.0386	-1.31291
-13.64192	-7.4788	-2.57565	1.50769	-2.20742
-8.06036	-5.8323	-1.70513	-0.35082	-1.70513
-4.423	-3.4859	-0.34245	-1.35125	-0.37901
-3.37802	-3.3373	-1.70634	0.14385	-1.70634
-4.34158	-2.7894	-2.64692	-1.78282	-2.64692
-4.48704	-3.9786	-2.39583	-2.62729	-2.39583
-5.21727	-1.7968	-4.12123	-1.0589	-4.12123
-3.22847	-4.0371	-1.11978	-0.09918	-1.8263
-4.22509	-4.7506	-4.67839	-0.86142	-4.40936
-3.35825	-4.5473	-1.5476	-1.57634	-1.5476
-1.90056	-2.7928	-1.42542	0.41511	-1.42542
-5.25062	-2.1054	-1.87152	0.10533	-1.87152
-4.56842	-2.1008	-1.19916	-0.18822	-0.50702
-4.01704	-3.3547	-4.32474	-2.74309	-4.32474
-4.13728	-1.7773	-1.85645	2.31093	-2.02623
-4.10806	-2.6465	-2.31045	-1.39568	-1.12601
-2.30453	-2.3873	-1.51302	-0.07622	-1.51302
-4.08047	-2.6969	-1.20958	0.0926	-1.20958
-3.01113	-4.2512	-1.98666	1.21583	-1.98666
-3.6002	-1.019	-2.26553	-0.19775	-2.26553
-2.62572	-0.1369	-2.57857	-1.63793	-2.57857
