residue,predus,ispred,dockpred,vorfip,annotated
1_1ACB.E,0.0,0.27,0.06375,0.315,0
2_1ACB.E,0.0,0.0,0.01764,0.07,0
3_1ACB.E,0.0,0.17,0.055720000000000006,0.325,0
4_1ACB.E,0.0,0.0,0.03469,0.155,0
5_1ACB.E,0.0,0.15,0.04091,0.225,0
6_1ACB.E,0.0,0.16,0.020980000000000002,0.135,0
7_1ACB.E,0.0,0.08,0.04485,0.24,0
8_1ACB.E,0.0,0.06,0.020980000000000002,0.085,0
9_1ACB.E,0.0,0.02,0.02447,0.14,0
10_1ACB.E,0.0,0.0,0.02393,0.12,0
11_1ACB.E,0.0,0.02,0.03195,0.085,0
12_1ACB.E,0.0,0.05,0.032060000000000005,0.11,0
13_1ACB.E,0.0,0.29,0.03682,0.15,0
16_1ACB.E,0.0,0.0,0.00016,0.05,0
17_1ACB.E,0.035,0.0,0.011470000000000001,0.025,0
18_1ACB.E,0.0,0.05,0.02955,0.05,0
19_1ACB.E,0.0,0.19,0.00601,0.11,0
20_1ACB.E,0.0,0.03,0.01103,0.065,0
21_1ACB.E,0.0,0.02,0.009940000000000001,0.145,0
22_1ACB.E,0.0,0.0,0.00442,0.135,0
23_1ACB.E,0.0,0.03,0.01529,0.075,0
24_1ACB.E,0.0,0.01,0.01207,0.01,0
25_1ACB.E,0.0,0.07,0.00251,0.01,0
26_1ACB.E,0.0,0.0,0.00066,0.025,0
27_1ACB.E,0.0,0.0,0.00082,0.005,0
28_1ACB.E,0.0,0.0,0.00464,0.02,0
29_1ACB.E,0.0,0.0,0.00262,0.0,0
30_1ACB.E,0.0,0.0,0.0,0.0,0
31_1ACB.E,0.0,0.0,0.0,0.0,0
32_1ACB.E,0.0,0.0,0.00262,0.035,0
33_1ACB.E,0.0,0.0,0.009179999999999999,0.295,0
34_1ACB.E,0.0,0.0,0.06145,0.12,0
35_1ACB.E,0.0,0.32,0.63932,0.28,0
36_1ACB.E,0.0,0.65,0.1743,0.17,0
37_1ACB.E,0.0,0.82,0.51652,0.595,0
38_1ACB.E,0.0,0.43,0.13890999999999998,0.41,0
39_1ACB.E,0.0,0.98,1.0,0.78,1
40_1ACB.E,0.121,0.0,0.40438,0.765,0
41_1ACB.E,0.11199999999999999,0.99,0.8590200000000001,0.0,1
42_1ACB.E,0.0,0.0,0.38898,0.0,0
43_1ACB.E,0.0,0.0,0.00344,0.0,0
44_1ACB.E,0.0,0.0,0.0,0.0,0
45_1ACB.E,0.0,0.0,0.0,0.1,0
46_1ACB.E,0.0,0.0,0.00115,0.165,0
47_1ACB.E,0.0,0.0,0.03387,0.26,0
48_1ACB.E,0.0,0.17,0.04326,0.145,0
49_1ACB.E,0.0,0.25,0.0537,0.065,0
50_1ACB.E,0.0,0.11,0.020980000000000002,0.0,0
51_1ACB.E,0.0,0.0,0.017480000000000002,0.0,0
52_1ACB.E,0.0,0.0,0.0,0.0,0
53_1ACB.E,0.0,0.0,0.0,0.0,0
54_1ACB.E,0.0,0.0,0.00055,0.07,0
55_1ACB.E,0.0,0.0,0.00683,0.73,0
56_1ACB.E,0.0,0.0,0.1028,0.41,0
57_1ACB.E,0.0,0.97,0.6704,0.205,1
58_1ACB.E,0.0,0.0,0.5837100000000001,0.075,1
59_1ACB.E,0.0,0.78,0.48833999999999994,0.045,0
60_1ACB.E,0.0,0.0,0.13722,0.03,0
61_1ACB.E,0.0,0.11,0.26979000000000003,0.015,0
62_1ACB.E,0.0,0.06,0.04004,0.115,0
63_1ACB.E,0.0,0.02,0.13710999999999998,0.015,0
64_1ACB.E,0.0,0.0,0.28907,0.0,0
65_1ACB.E,0.0,0.0,0.00213,0.0,0
66_1ACB.E,0.0,0.0,0.0,0.0,0
67_1ACB.E,0.0,0.0,0.00066,0.015,0
68_1ACB.E,0.0,0.0,0.0,0.03,0
69_1ACB.E,0.0,0.02,0.00164,0.06,0
70_1ACB.E,0.0,0.0,0.0094,0.06,0
71_1ACB.E,0.0,0.0,0.007370000000000001,0.18,0
72_1ACB.E,0.0,0.0,0.01273,0.135,0
73_1ACB.E,0.0,0.33,0.10084,0.08,0
74_1ACB.E,0.0,0.75,0.053970000000000004,0.135,0
75_1ACB.E,0.0,0.88,0.02332,0.06,0
76_1ACB.E,0.0,0.52,0.02229,0.05,0
77_1ACB.E,0.0,0.42,0.01114,0.14,0
78_1ACB.E,0.0,0.1,0.00912,0.045,0
79_1ACB.E,0.0,0.05,0.01065,0.04,0
80_1ACB.E,0.0,0.04,0.0049700000000000005,0.045,0
81_1ACB.E,0.0,0.02,0.00366,0.025,0
82_1ACB.E,0.0,0.09,0.016390000000000002,0.07,0
83_1ACB.E,0.0,0.0,0.00158,0.02,0
84_1ACB.E,0.0,0.1,0.0039299999999999995,0.065,0
85_1ACB.E,0.0,0.0,0.00186,0.12,0
86_1ACB.E,0.0,0.04,0.00579,0.12,0
87_1ACB.E,0.0,0.35,0.02742,0.065,0
88_1ACB.E,0.0,0.46,0.036160000000000005,0.2,0
89_1ACB.E,0.0,0.67,0.028789999999999996,0.035,0
90_1ACB.E,0.0,0.67,0.18031,0.13,0
91_1ACB.E,0.0,0.0,0.020980000000000002,0.195,0
92_1ACB.E,0.0,0.59,0.03895,0.215,0
93_1ACB.E,0.0,0.77,0.02207,0.125,0
94_1ACB.E,0.085,0.68,0.33468000000000003,0.25,0
95_1ACB.E,0.085,0.42,0.0473,0.41,0
96_1ACB.E,0.051,0.85,0.45403000000000004,0.305,0
97_1ACB.E,0.11199999999999999,0.95,0.39946,0.505,0
98_1ACB.E,0.2,0.95,0.09532,0.08,0
99_1ACB.E,0.2,0.47,0.33992,0.065,0
100_1ACB.E,0.084,0.56,0.00126,0.07,0
101_1ACB.E,0.0,0.24,0.00158,0.0,0
102_1ACB.E,0.0,0.0,0.026269999999999998,0.04,0
103_1ACB.E,0.0,0.0,0.00011,0.0,0
104_1ACB.E,0.0,0.0,0.01218,0.0,0
105_1ACB.E,0.0,0.0,0.00055,0.085,0
106_1ACB.E,0.0,0.0,0.00011,0.02,0
