residue,predus,ispred,dockpred,annotated,vorfip
1_1ACB.E,0.0,0.27,0.06375,0,0.315
2_1ACB.E,0.0,0.0,0.01764,0,0.07
3_1ACB.E,0.0,0.17,0.055720000000000006,0,0.325
4_1ACB.E,0.0,0.0,0.03469,0,0.155
5_1ACB.E,0.0,0.15,0.04091,0,0.225
6_1ACB.E,0.0,0.16,0.020980000000000002,0,0.135
7_1ACB.E,0.0,0.08,0.04485,0,0.24
8_1ACB.E,0.0,0.06,0.020980000000000002,0,0.085
9_1ACB.E,0.0,0.02,0.02447,0,0.14
10_1ACB.E,0.0,0.0,0.02393,0,0.12
11_1ACB.E,0.0,0.02,0.03195,0,0.085
12_1ACB.E,0.0,0.05,0.032060000000000005,0,0.11
13_1ACB.E,0.0,0.29,0.03682,0,0.15
16_1ACB.E,0.0,0.0,0.00016,0,0.02
17_1ACB.E,0.035,0.0,0.011470000000000001,0,0.175
18_1ACB.E,0.0,0.05,0.02955,0,0.05
19_1ACB.E,0.0,0.19,0.00601,0,0.025
20_1ACB.E,0.0,0.03,0.01103,0,0.05
21_1ACB.E,0.0,0.02,0.009940000000000001,0,0.11
22_1ACB.E,0.0,0.0,0.00442,0,0.065
23_1ACB.E,0.0,0.03,0.01529,0,0.145
24_1ACB.E,0.0,0.01,0.01207,0,0.135
25_1ACB.E,0.0,0.07,0.00251,0,0.075
26_1ACB.E,0.0,0.0,0.00066,0,0.01
27_1ACB.E,0.0,0.0,0.00082,0,0.01
28_1ACB.E,0.0,0.0,0.00464,0,0.025
29_1ACB.E,0.0,0.0,0.00262,0,0.005
30_1ACB.E,0.0,0.0,0.0,0,0.02
31_1ACB.E,0.0,0.0,0.0,0,0.0
32_1ACB.E,0.0,0.0,0.00262,0,0.0
33_1ACB.E,0.0,0.0,0.009179999999999999,0,0.0
34_1ACB.E,0.0,0.0,0.06145,0,0.035
35_1ACB.E,0.0,0.32,0.63932,0,0.295
36_1ACB.E,0.0,0.65,0.1743,0,0.12
37_1ACB.E,0.0,0.82,0.51652,0,0.28
38_1ACB.E,0.0,0.43,0.13890999999999998,0,0.17
39_1ACB.E,0.0,0.98,1.0,1,0.595
40_1ACB.E,0.121,0.0,0.40438,0,0.41
41_1ACB.E,0.11199999999999999,0.99,0.8590200000000001,1,0.78
42_1ACB.E,0.0,0.0,0.38898,0,0.765
43_1ACB.E,0.0,0.0,0.00344,0,0.0
44_1ACB.E,0.0,0.0,0.0,0,0.0
45_1ACB.E,0.0,0.0,0.0,0,0.0
46_1ACB.E,0.0,0.0,0.00115,0,0.0
47_1ACB.E,0.0,0.0,0.03387,0,0.1
48_1ACB.E,0.0,0.17,0.04326,0,0.165
49_1ACB.E,0.0,0.25,0.0537,0,0.26
50_1ACB.E,0.0,0.11,0.020980000000000002,0,0.145
51_1ACB.E,0.0,0.0,0.017480000000000002,0,0.065
52_1ACB.E,0.0,0.0,0.0,0,0.0
53_1ACB.E,0.0,0.0,0.0,0,0.0
54_1ACB.E,0.0,0.0,0.00055,0,0.0
55_1ACB.E,0.0,0.0,0.00683,0,0.0
56_1ACB.E,0.0,0.0,0.1028,0,0.07
57_1ACB.E,0.0,0.97,0.6704,1,0.73
58_1ACB.E,0.0,0.0,0.5837100000000001,1,0.41
59_1ACB.E,0.0,0.78,0.48833999999999994,0,0.205
60_1ACB.E,0.0,0.0,0.13722,0,0.075
61_1ACB.E,0.0,0.11,0.26979000000000003,0,0.045
62_1ACB.E,0.0,0.06,0.04004,0,0.03
63_1ACB.E,0.0,0.02,0.13710999999999998,0,0.015
64_1ACB.E,0.0,0.0,0.28907,0,0.115
65_1ACB.E,0.0,0.0,0.00213,0,0.015
66_1ACB.E,0.0,0.0,0.0,0,0.0
67_1ACB.E,0.0,0.0,0.00066,0,0.0
68_1ACB.E,0.0,0.0,0.0,0,0.0
69_1ACB.E,0.0,0.02,0.00164,0,0.015
70_1ACB.E,0.0,0.0,0.0094,0,0.03
71_1ACB.E,0.0,0.0,0.007370000000000001,0,0.06
72_1ACB.E,0.0,0.0,0.01273,0,0.06
73_1ACB.E,0.0,0.33,0.10084,0,0.18
74_1ACB.E,0.0,0.75,0.053970000000000004,0,0.135
75_1ACB.E,0.0,0.88,0.02332,0,0.08
76_1ACB.E,0.0,0.52,0.02229,0,0.135
77_1ACB.E,0.0,0.42,0.01114,0,0.06
78_1ACB.E,0.0,0.1,0.00912,0,0.05
79_1ACB.E,0.0,0.05,0.01065,0,0.14
80_1ACB.E,0.0,0.04,0.0049700000000000005,0,0.045
81_1ACB.E,0.0,0.02,0.00366,0,0.04
82_1ACB.E,0.0,0.09,0.016390000000000002,0,0.045
83_1ACB.E,0.0,0.0,0.00158,0,0.025
84_1ACB.E,0.0,0.1,0.0039299999999999995,0,0.07
85_1ACB.E,0.0,0.0,0.00186,0,0.02
86_1ACB.E,0.0,0.04,0.00579,0,0.065
