Protein,surface res,cutoff res,annotated res
2SIC.E,173,29,17
2A5T.A,192,30,10
1DFJ.I,325,35,18
2BTF.A,267,33,18
1KLU.D,165,28,11
4JCV.E,177,29,11
4G6M.H,320,34,14
3R9A.B,217,31,17
2B42.B,141,27,21
1KAC.A,143,27,9
1GXD.C,167,28,18
2FD6.H,327,35,14
1DE4.E,87,23,21
3G6D.L,329,35,15
3SZK.F,116,25,11
1JIW.I,84,23,15
1JIW.P,332,35,20
1ACB.I,55,20,11
1GHQ.A,197,30,5
1VFB.A,166,28,15
3SZK.E,107,25,12
2B42.A,269,33,19
1KAC.B,101,24,12
1ZHH.A,240,32,13
3EO1.A,330,35,12
2W9E.H,328,35,17
1DQJ.A,327,35,18
3EOA.L,322,34,12
1FC2.D,174,29,10
2A5T.B,214,31,14
2C0L.A,214,31,19
1TMQ.A,306,34,18
1US7.A,151,27,7
4M76.B,130,26,12
2HLE.B,107,25,13
2B4J.C,69,22,8
1AVX.A,158,28,19
2CFH.C,118,26,10
1XQS.A,186,29,23
3L5W.L,326,35,10
1T6B.Y,122,26,14
1ML0.A,278,33,9
1OFU.A,214,31,12
1ZHI.B,108,25,8
1F34.A,235,31,22
2AJF.E,147,27,11
1ZHI.A,162,28,9
3S9D.B,152,28,12
1US7.B,156,28,8
1E6J.H,330,35,7
1TMQ.B,93,24,15
2BTF.P,106,25,18
3BX7.C,101,24,16
1E4K.C,141,27,12
2VDB.A,499,39,11
1KXP.A,250,32,20
1FLE.E,167,28,11
1AK4.A,119,26,9
3MXW.L,327,35,14
2VXT.H,324,35,13
4DN4.L,310,34,14
2VIS.A,332,35,12
1QA9.A,83,23,13
1MQ8.B,129,26,12
3DAW.B,108,25,16
3HMX.L,329,35,16
3F1P.B,90,24,18
3AAA.C,93,24,11
3F1P.A,94,24,13
3BX7.A,138,27,16
3DAW.A,278,33,20
1QA9.B,82,23,15
1MLC.A,327,35,13
4G6J.H,320,34,16
1T6B.X,491,39,12
1JPS.H,324,35,16
2J0T.A,128,26,18
4FQI.H,332,35,11
1AHW.A,325,35,20
2HQS.A,308,34,17
1FFW.A,98,24,8
3HI6.X,324,35,15
7CEI.B,107,25,10
1GXD.A,504,39,21
3V6Z.A,329,35,21
1ACB.E,172,29,13
1AY7.A,85,23,9
1BGX.H,332,35,31
1KXP.D,361,36,26
3VLB.A,286,33,15
1KTZ.A,80,23,7
3BIW.A,352,35,9
1EXB.E,76,22,3
2O3B.A,170,28,15
2SIC.I,94,24,11
3VLB.B,157,28,17
1DFJ.E,103,25,18
1IRA.X,113,25,23
1AY7.B,67,22,9
2HRK.B,102,24,8
2J0T.D,105,25,11
7CEI.A,73,22,13
1FFW.B,59,21,10
1PVH.B,139,27,8
3RVW.C,321,34,13
1WEJ.H,327,35,11
1S1Q.A,115,25,11
