Protein,dock_not_ispred,ispred_not_dock,ispred_res,dock_res,delta_ispred_dock
3BX7.A,,,173,173,0
3EO1.A,,,431,431,0
1GHQ.A,,,307,307,0
1T6B.Y,,,170,170,0
3VLB.A,,,404,404,0
3EOA.L,,,429,429,0
1ZHH.A,,,344,344,0
2B4J.C,,,82,82,0
1ACB.E,,,241,241,0
1AVX.A,,,220,220,0
1ZHI.A,,,195,195,0
1GXD.C,,,192,192,0
1US7.B,,,193,193,0
1FC2.D,,,206,206,0
1TMQ.A,,,470,470,0
1S1Q.A,,,137,137,0
3R9A.B,,,289,289,0
1KXP.D,,,438,438,0
3HMX.L,,,431,431,0
2W9E.H,,,427,427,0
3SZK.E,,,123,123,0
3DAW.A,,,372,372,0
1T6B.X,,,676,676,0
1KLU.D,,,230,230,0
4DN4.L,,,427,427,0
2CFH.C,,,149,149,0
1KXP.A,,,349,349,0
1F34.A,,,325,325,0
3F1P.A,,,114,114,0
1JIW.P,,,470,470,0
3BX7.C,,,120,120,0
1TMQ.B,,,117,117,0
2FD6.H,,,420,420,0
3DAW.B,,,140,140,0
3SZK.F,,,141,141,0
1AHW.A,,,428,428,0
3V6Z.A,,,440,440,0
3HI6.X,,,426,426,0
2HQS.A,,,412,412,0
1VFB.A,,,223,223,0
1MQ8.B,,,177,177,0
1GXD.A,,,624,624,0
1IRA.X,,,145,145,0
2BTF.A,,,373,373,0
3RVW.C,,,429,429,0
3F1P.B,,,111,111,0
1AK4.A,,,165,165,0
2SIC.I,,,107,107,0
1JIW.I,,,105,105,0
1DFJ.I,,,456,456,0
1DQJ.A,,,424,424,0
2J0T.D,,,124,124,0
3VLB.B,,,218,218,0
1BGX.H,,,415,415,0
1PVH.B,,,169,169,0
2VIS.A,,,431,431,0
1ZHI.B,,,125,125,0
1EXB.E,,,91,91,0
1MLC.A,,,432,432,0
1OFU.A,,,307,307,0
1US7.A,,,206,206,0
2O3B.A,,,241,241,0
2J0T.A,,,161,161,0
4M76.A,,,296,296,0
2SIC.E,,,275,275,0
2HRK.B,,,121,121,0
1DFJ.E,,,124,124,0
1FFW.B,,,68,68,0
4G6M.H,,,433,433,0
1WEJ.H,,,437,437,0
3AAA.C,,,117,117,0
1QA9.A,,,102,102,0
3S9D.B,,,180,180,0
2VXT.H,,,416,416,0
1KTZ.A,,,82,82,0
2C0L.A,,,292,292,0
1AY7.A,,,96,96,0
2B42.B,,,184,184,0
4G6J.H,,,430,430,0
3L5W.L,,,436,436,0
1ML0.A,,,371,371,0
1KAC.A,,,185,185,0
7CEI.B,,,127,127,0
2A5T.B,,,276,276,0
2B42.A,,,364,364,0
1E4K.C,,,172,172,0
1AY7.B,,,89,89,0
4JCV.E,,,214,214,0
2VDB.A,,,574,574,0
1E6J.H,,,429,429,0
1KAC.B,,,124,124,0
2BTF.P,,,139,139,0
2HLE.B,,,133,133,0
1FLE.E,,,229,229,0
7CEI.A,,,87,87,0
2A5T.A,,,271,271,0
1DE4.E,,,99,99,0
3G6D.L,,,433,433,0
4M76.B,,,179,179,0
1XQS.A,,,264,264,0
3BIW.A,,,533,533,0
2AJF.E,,,174,174,0
1FFW.A,,,128,128,0
3MXW.L,,,426,426,0
4FQI.H,,,413,413,0
1JPS.H,,,426,426,0
1QA9.B,,,95,95,0
1ACB.I,,,63,63,0
1AFW.A,,,390,390,0
1GLA.F,,,161,161,0
1CMX.A,,,214,214,0
1TRK.A,,,678,678,0
1UEA.A,,,166,166,0
1TAB.I,,,36,36,0
1MSP.A,,,124,124,0
1I2M.A,,,165,165,0
1WQ1.R,,,166,166,0
1TCO.A,,,352,352,0
1BJN.A,,,359,359,0
1DOR.A,,,311,311,0
1I8L.A,,,199,199,0
1AQ6.A,,,245,245,0
1SMP.I,,,100,100,0
4XXH.A,,,255,255,0
2PCB.A,,,294,294,0
1EMV.A,,,83,83,0
1F60.A,,,440,440,0
2PTC.I,,,58,58,0
2UTG.A,,,70,70,0
1BVN.T,,,71,71,0
1SPU.A,,,717,717,0
3TMK.A,,,216,216,0
1TMQ.A,,,470,470,0
2AE2.A,,,259,259,0
1H2A.L,,,534,534,0
1DOW.A,,,200,200,0
1QAE.A,,,240,240,0
1AHJ.A,,,198,198,0
1C0F.S,,,127,127,0
1QAV.A,,,90,90,0
1SOX.A,,,463,463,0
1XSO.A,,,149,149,0
1F34.A,,,325,325,0
1RRP.A,,,204,204,0
1AT3.A,,,217,217,0
1YVE.I,,,513,513,0
1HJR.A,,,158,158,0
2NAC.A,,,374,374,0
1CP2.A,,,269,269,0
1AJ8.A,,,371,371,0
1AGR.E,,,128,128,0
1CMB.A,,,104,104,0
4SGB.I,,,51,51,0
1AVA.A,,,403,403,0
1QAX.A,,,425,425,0
1JKM.A,,,358,358,0
1ISA.A,,,192,192,0
1STF.E,,,211,211,0
1QOR.A,,,326,326,0
1EFV.A,,,312,312,0
1CLI.A,,,341,341,0
1B5E.A,,,241,241,0
1BUH.A,,,287,287,0
1AK4.A,,,165,165,0
2SIC.I,,,107,107,0
1B34.A,,,80,80,0
1JTD.A,,,262,262,0
1BI7.A,,,269,269,0
1YPI.A,,,247,247,0
1AVZ.B,,,103,103,0
