protein,predus,ispred,dockpred,rfscore,logreg
1ACB.E,0.4285714285714286,0.380952380952381,0.5238095238095238,0.5238095238095238,0.5714285714285715
1ACB.I,0.5806451612903226,0.6451612903225806,0.5806451612903226,0.7096774193548387,0.7096774193548387
1AHW.A,0.5454545454545454,0.6181818181818183,0.7272727272727273,0.6909090909090908,0.6909090909090908
1AK4.A,0.2285714285714286,0.3428571428571429,0.17142857142857146,0.28571428571428575,0.39999999999999997
1AT3.A,0.5116279069767441,0.5116279069767441,0.6046511627906976,0.5581395348837209,0.5581395348837209
1ATN.A,0.2857142857142857,0.0816326530612245,0.163265306122449,0.24489795918367344,0.2857142857142857
1AVA.A,0.24489795918367344,0.6122448979591837,0.48979591836734687,0.5714285714285714,0.6122448979591837
1AVW.A,0.5531914893617021,0.5106382978723404,0.5531914893617021,0.5957446808510638,0.6382978723404255
1AVX.A,0.5957446808510638,0.46808510638297873,0.5531914893617021,0.5957446808510638,0.5957446808510638
1AVZ.B,0.5294117647058824,0.4705882352941176,0.1764705882352941,0.411764705882353,0.4705882352941176
1AY7.A,0.3125,0.3125,0.18750000000000003,0.43750000000000006,0.43750000000000006
1AY7.B,0.45161290322580644,0.2580645161290322,0.45161290322580644,0.45161290322580644,0.5161290322580644
1B34.A,0.5641025641025642,0.358974358974359,0.8205128205128205,0.5641025641025642,0.8205128205128205
1B3A.A,0.36363636363636365,0.5454545454545454,0.4242424242424242,0.6060606060606061,0.6060606060606061
1B5E.A,0.15384615384615385,0.523076923076923,0.4923076923076923,0.46153846153846156,0.5846153846153845
1B6C.A,0.5789473684210527,0.6315789473684211,0.31578947368421056,0.5789473684210527,0.5789473684210527
1B7B.A,0.3389830508474576,0.47457627118644063,0.3728813559322034,0.5762711864406779,0.5762711864406779
1B8A.A,0.5054945054945055,0.3076923076923077,0.5054945054945055,0.43956043956043955,0.5274725274725274
1B8J.A,0.5161290322580645,0.3655913978494624,0.45161290322580644,0.47311827956989244,0.5161290322580645
1B9M.A,0.3333333333333333,0.4444444444444444,0.3611111111111111,0.5555555555555556,0.5277777777777778
1BGX.H,0.4848484848484849,0.4848484848484849,0.4242424242424243,0.5757575757575757,0.5454545454545455
1BI7.A,0.2181818181818182,0.14545454545454545,0,0.1818181818181818,0.14545454545454545
1BJN.A,0.40625,0.5625,0.5625,0.5625,0.625
1BKD.R,0.6666666666666666,0.47058823529411764,0.5882352941176471,0.5098039215686274,0.5490196078431373
1BML.A,0.21818181818181817,0.18181818181818185,0.4727272727272727,0.4,0.4727272727272727
1BO1.A,0.39999999999999997,0.16,0.32,0.28,0.36
1BRM.A,0.4186046511627907,0.4883720930232558,0.5581395348837209,0.5581395348837209,0.5116279069767441
1BUH.A,0,0.2325581395348837,0.4651162790697674,0.18604651162790697,0.5116279069767442
1BVN.T,0.611111111111111,0.5,0.7222222222222222,0.5555555555555556,0.611111111111111
1BYF.A,0.05,0.5499999999999999,0.35000000000000003,0.45,0.5499999999999999
1C0F.S,0.2608695652173913,0.43478260869565216,0.5217391304347826,0.4782608695652174,0.6956521739130435
1CC0.A,0.3428571428571429,0.4571428571428572,0.3428571428571429,0.3428571428571429,0.4571428571428572
1CLI.A,0.4864864864864864,0.4324324324324324,0.18918918918918917,0.5135135135135135,0.5135135135135135
1CMB.A,0.6153846153846154,0.3076923076923077,0.4615384615384615,0.5641025641025641,0.5641025641025641
1CMX.A,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.28,0.28
1CNZ.A,0.6133333333333333,0.48,0.6133333333333333,0.6133333333333333,0.6666666666666666
1COZ.A,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.4117647058823529
1CP2.A,0.1904761904761905,0.47619047619047616,0.5238095238095238,0.47619047619047616,0.5238095238095238
1CQI.A,0.25,0.33333333333333337,0.125,0.33333333333333337,0.37499999999999994
1CSE.I,0.6,0.6,0.3333333333333333,0.6,0.6
1CVS.A,0.48780487804878053,0.6341463414634146,0.4390243902439025,0.6341463414634146,0.5853658536585366
1D09.A,0.2222222222222222,0.08888888888888888,0,0.08888888888888888,0.26666666666666666
1DCE.A,0.5454545454545455,0.28571428571428575,0.07792207792207792,0.33766233766233766,0.5454545454545455
1DE4.E,0.6818181818181819,0.4545454545454545,0.7272727272727272,0.7272727272727272,0.7727272727272727
1DFJ.E,0.18604651162790697,0.23255813953488372,0.09302325581395349,0.13953488372093023,0.09302325581395349
1DFJ.I,0.41509433962264153,0.4528301886792453,0.490566037735849,0.5660377358490566,0.5283018867924528
1DHK.A,0.33333333333333337,0.4000000000000001,0.06666666666666667,0.3666666666666667,0.4000000000000001
1DOR.A,0.5818181818181818,0.5818181818181818,0.4727272727272728,0.6545454545454547,0.5818181818181818
1DOW.A,0.046511627906976744,0.18604651162790697,0.046511627906976744,0.09302325581395349,0.18604651162790697
1DQJ.A,0.4528301886792453,0.5660377358490566,0.6792452830188679,0.6792452830188679,0.6792452830188679
1E4K.C,0.5128205128205128,0.15384615384615383,0.30769230769230765,0.5128205128205128,0.5641025641025641
1E6J.H,0.2857142857142857,0.2857142857142857,0.33333333333333337,0.33333333333333337,0.33333333333333337
1EAI.C,0.45161290322580644,0.5806451612903225,0.5161290322580645,0.3870967741935483,0.5806451612903225
1EFV.A,0.5111111111111112,0.5111111111111112,0.4444444444444444,0.4888888888888889,0.5111111111111112
1EG9.A,0.061538461538461535,0.2153846153846154,0.030769230769230767,0.12307692307692307,0.3076923076923077
1EMV.A,0.6285714285714286,0.39999999999999997,0.6285714285714286,0.6285714285714286,0.6857142857142856
1ETH.A,0.25,0.5,0.041666666666666664,0.2916666666666667,0.5
1EUV.A,0.39999999999999997,0.39999999999999997,0.43636363636363634,0.43636363636363634,0.39999999999999997
1EXB.E,0.24000000000000002,0.16,0.24000000000000002,0.16,0.24000000000000002
1F34.A,0.11320754716981131,0.41509433962264153,0.03773584905660377,0.22641509433962262,0.4905660377358491
1F60.A,0.3548387096774193,0.3548387096774193,0.2580645161290323,0.3870967741935484,0.3870967741935484
1F6Y.A,0.2916666666666667,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334
1FC2.D,0.358974358974359,0,0,0,0.4615384615384615
1FFW.A,0.125,0.1875,0,0.1875,0.1875
1FFW.B,0.3870967741935483,0.45161290322580644,0.6451612903225806,0.5161290322580645,0.6451612903225806
1FIN.A,0.19999999999999998,0.23333333333333334,0.33333333333333337,0.23333333333333334,0.33333333333333337
1FLE.E,0.2051282051282051,0.10256410256410255,0.05128205128205127,0.10256410256410255,0.10256410256410255
1FRV.A,0.2696629213483146,0.33707865168539325,0.3146067415730337,0.40449438202247195,0.38202247191011235
1FSS.A,0.2,0.2,0.24000000000000002,0.2,0.2
1GHQ.A,0,0,0,0,0
1GLA.F,0.36363636363636365,0.36363636363636365,0.24242424242424246,0.36363636363636365,0.36363636363636365
1GPE.A,0.15873015873015875,0.34920634920634924,0.25396825396825395,0.22222222222222224,0.38095238095238093
1GUX.A,0.45,0.45,0.5499999999999999,0.5,0.6
1GXD.A,0,0.13333333333333333,0,0.03333333333333333,0.16666666666666666
1GXD.C,0.4782608695652174,0.391304347826087,0.6521739130434783,0.5652173913043479,0.6521739130434783
1H2A.L,0.2444444444444445,0.5777777777777778,0.4444444444444444,0.5777777777777778,0.6
1HGX.A,0.13636363636363638,0.5,0.3636363636363637,0.4545454545454546,0.40909090909090906
1HJR.A,0.29268292682926833,0.43902439024390244,0.0975609756097561,0.5365853658536585,0.3902439024390244
1HLU.A,0.2727272727272727,0,0.36363636363636365,0.2727272727272727,0.4090909090909091
1HSS.A,0.35897435897435903,0.35897435897435903,0.15384615384615385,0.4102564102564102,0.35897435897435903
1I2M.A,0.12000000000000001,0.4,0.32,0.4,0.43999999999999995
1I8L.A,0.3333333333333333,0.16666666666666666,0.2777777777777778,0.3888888888888889,0.3888888888888889
1IRA.X,0.5416666666666667,0.5833333333333334,0.37499999999999994,0.5416666666666667,0.5833333333333334
1ISA.A,0.5,0.4444444444444444,0.5,0.5,0.5
1ITB.A,0.27450980392156865,0.3137254901960784,0.23529411764705882,0.3137254901960784,0.35294117647058826
1JIW.I,0.26315789473684204,0.3684210526315789,0.6842105263157895,0.5263157894736841,0.7368421052631579
1JIW.P,0.2545454545454545,0.43636363636363634,0.43636363636363634,0.4727272727272728,0.43636363636363634
1JKM.A,0,0.041666666666666664,0.125,0.041666666666666664,0.16666666666666666
1JPS.H,0.47058823529411753,0.392156862745098,0.6274509803921569,0.5490196078431373,0.5490196078431373
1JTD.A,0.34146341463414637,0.3902439024390244,0.34146341463414637,0.4390243902439025,0.4390243902439025
1KAC.A,0.16666666666666666,0.3888888888888889,0,0.2777777777777778,0.3888888888888889
1KAC.B,0.4444444444444444,0.3333333333333333,0.5,0.4444444444444444,0.5
1KLU.D,0.30769230769230765,0.25641025641025644,0.5128205128205129,0.4102564102564102,0.5128205128205129
1KPE.A,0.5614035087719298,0.4912280701754386,0.7368421052631579,0.6666666666666667,0.7719298245614035
1KTZ.A,0.4666666666666667,0.4,0.2,0.3333333333333333,0.4666666666666667
1KXP.A,0.2692307692307692,0.3076923076923077,0.34615384615384615,0.38461538461538464,0.38461538461538464
1KXP.D,0.1935483870967742,0.5161290322580646,0.5806451612903226,0.6451612903225806,0.7096774193548387
1LFD.A,0.4242424242424242,0.1818181818181818,0.3636363636363636,0.3636363636363636,0.3636363636363636
1LUC.A,0.16129032258064516,0.45161290322580644,0.5483870967741935,0.5483870967741935,0.5806451612903225
1ML0.A,0,0.09523809523809523,0,0.047619047619047616,0.09523809523809523
1MLC.A,0.3333333333333333,0.12500000000000003,0.5416666666666666,0.3333333333333333,0.5416666666666666
1MQ8.B,0.42105263157894735,0.3684210526315789,0.4736842105263157,0.4736842105263157,0.42105263157894735
