,predus_FPR,predus_TPR,ispred_TPR,ispred_FPR,dockpred_TPR,dockpred_FPR,rfscore_TPR,rfscore_FPR,logreg_TPR,logreg_FPR
,ispred_FPR,ispred_TPR,,,,,,,,
,dockpred_FPR,dockpred_TPR,,,,,,,,
,rfscore_FPR,rfscore_TPR,,,,,,,,
,logreg_FPR,logreg_TPR,,,,,,,,
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.1480901183208169,0.5023169601482854,0.8804448563484708,0.5565220523349002,0.9151992585727525,0.5775028364579394,0.9752085264133457,0.6349883840293911,0.9946709916589435,0.6625785653826066
0.02,0.1416788229149783,0.49721964782205746,0.8507877664504171,0.4289985052316891,0.881371640407785,0.48363859023538097,0.938368860055607,0.4661876204369046,0.9673308619091752,0.45963225097700217
0.03,0.133700722171196,0.49304911955514363,0.8188137164040779,0.3605633295513894,0.8521779425393883,0.4199038305689124,0.9070898980537535,0.3721432816467664,0.9295644114921223,0.3156842617105192
0.04,0.12266104777855819,0.48632993512511585,0.7935588507877664,0.3202766221838025,0.82483781278962,0.37158499468726924,0.8825301204819277,0.31170421596700704,0.8897126969416126,0.23026635690745043
0.05,0.11668197453491094,0.48123262279888784,0.7768767377201112,0.2930466259657464,0.7995829471733086,0.3352963423199525,0.840129749768304,0.2542186683955553,0.8626042632066728,0.18400057629621624
0.06,0.10713706845318494,0.47405004633920295,0.7622798887859129,0.27287625839681595,0.7757182576459685,0.30392421704756245,0.811631139944393,0.21546274785239614,0.8387395736793327,0.1547175248077512
0.07,0.10189637473661461,0.4677942539388322,0.7544022242817423,0.25690204765249336,0.7564874884151993,0.27795486880256454,0.7875347544022243,0.18898914041817494,0.8137164040778498,0.13352062960361627
0.08,0.09573720892538765,0.456209453197405,0.7444392956441149,0.2434671421110451,0.7344763670064874,0.25740630684171667,0.7699258572752549,0.17249266122787113,0.7933271547729379,0.11421470635906857
0.09,0.08900174689790552,0.4462465245597776,0.736793327154773,0.2313108937994129,0.7126969416126042,0.23808237434041096,0.7541705282669138,0.15959803338916204,0.7743280815569972,0.10198642102040449
0.1,0.08633637689772543,0.4427710843373494,0.731696014828545,0.22153186737983324,0.6941612604263206,0.2215498766365912,0.7326227988878591,0.14409206332054675,0.7560240963855421,0.09197327426297117
0.11,0.0843193401408324,0.43628359592215016,0.7215013901760889,0.21288742413600592,0.6744670991658943,0.20638608244637743,0.7180259499536608,0.1340428980495975,0.7407321594068582,0.08476957155978172
0.12,0.07884452608640842,0.4256255792400371,0.7150139017608897,0.2054496010949628,0.657321594068582,0.19329335278333062,0.7043558850787767,0.12644299169773263,0.7286839666357738,0.07825022061339529
0.13,0.07293748986979308,0.4170528266913809,0.709221501390176,0.19896626866209233,0.6408711770157554,0.1811731229852144,0.6941612604263206,0.11929331676481712,0.7145505097312326,0.0731896194644047
0.14,0.06904749041007077,0.40593141797961074,0.703660797034291,0.19341941758063644,0.621177015755329,0.17058368001152593,0.6809545875810936,0.11365641939957138,0.7050509731232623,0.0684171664235417
0.15,0.06717452770724153,0.40013901760889714,0.6974050046339203,0.18736830730995732,0.6061167747914736,0.16031840365948097,0.6640407784986099,0.10720910548021684,0.6936978683966636,0.06497739838276874
0.16,0.06593188899094134,0.39457831325301207,0.6927710843373494,0.18198353953932322,0.5912882298424467,0.15187206223999136,0.647126969416126,0.10002341203378537,0.6816496756255792,0.060619158247339135
0.17,0.06373475966646856,0.3862372567191844,0.6867469879518072,0.177355160552524,0.5783132530120482,0.14367785041511336,0.6299814643188137,0.094134385073928,0.6689063948100092,0.056963279125470494
0.18,0.06069119527437103,0.3697868396663577,0.6818813716404077,0.1728528463630306,0.5625579240037072,0.13633007365786015,0.6146895273401297,0.08918183946548526,0.6601019462465245,0.05411781655771066
0.19,0.05759360311199957,0.35472659870250234,0.677710843373494,0.1691069209573721,0.5484244670991659,0.13002683379256938,0.6007877664504171,0.08446341419489618,0.6492122335495829,0.05174059466565815
0.2,0.05388369621985701,0.34291010194624655,0.6723818350324374,0.16545104183550344,0.5301204819277109,0.12377762169755255,0.5843373493975904,0.0803573036540782,0.6392493049119555,0.04923730797629982
0.21,0.05260503899004088,0.33804448563484707,0.6672845227062094,0.1615250238622652,0.5143651529193698,0.11792461325121112,0.5683503243744208,0.07590901723485871,0.631371640407785,0.04689610459776325
0.22,0.04894915986817224,0.32854494902687675,0.6612604263206673,0.15837340392961982,0.5,0.11232373439948133,0.5521316033364226,0.07147874007239721,0.6167747914735866,0.044897077097628184
0.23,0.04801267851675761,0.32391102873030586,0.657321594068582,0.15453743224017144,0.48725671918443003,0.10672285554775154,0.5333642261353104,0.06683235182884002,0.6121408711770158,0.04273596628667135
0.24,0.0475444378410503,0.3227525486561631,0.6519925857275255,0.15147585859131593,0.47451343836886006,0.10193239325013057,0.51274328081557,0.0616636951393016,0.602873030583874,0.04084499432708412
0.25,0.0455634195976732,0.3107043558850788,0.647126969416126,0.14845030345597637,0.461306765523633,0.0969978568984458,0.494902687673772,0.05753957534172565,0.5954587581093606,0.03897203162425487
