,vorffip_Recall,vorffip_Precsion
0.0,1.0,0.07399374880398035
0.01,0.9926724137931034,0.0888468809073724
0.02,0.9857758620689655,0.09546270401135368
0.03,0.9795258620689655,0.10343179645896865
0.04,0.9719827586206896,0.1123875501507638
0.05,0.9642241379310345,0.12212698586012993
0.06,0.9551724137931035,0.13206591376381896
0.07,0.9456896551724138,0.14210764945916185
0.08,0.9334051724137931,0.1517731987664704
0.09,0.9226293103448275,0.16201180744777474
0.1,0.9088362068965518,0.17220679516497878
0.11,0.8952586206896552,0.1818898327349155
0.12,0.8786637931034482,0.19145339281521484
0.13,0.8665948275862069,0.20248766240306174
0.14,0.8547413793103448,0.2129967776584318
0.15,0.8415948275862069,0.22311735801622673
0.16,0.8232758620689655,0.23227532530706554
0.17,0.8114224137931034,0.24353169469598965
0.18,0.8023706896551724,0.25452929513912625
0.19,0.7898706896551724,0.26536818478024765
0.2,0.7775862068965518,0.27592535943713675
0.21,0.7635775862068965,0.28595641646489106
0.22,0.7517241379310344,0.2962711288541578
0.23,0.7364224137931035,0.30547112462006076
0.24,0.7258620689655172,0.314736940472853
0.25,0.7120689655172414,0.3236360074444118
0.26,0.7002155172413793,0.3335728952772074
0.27,0.6894396551724138,0.34535247759904997
0.28,0.6767241379310345,0.35576705189213687
0.29,0.6607758620689655,0.37042406669083
0.3,0.6540948275862069,0.37664432861752295
0.31,0.6422413793103449,0.38691249026226954
0.32,0.6321120689655172,0.3989933342402394
0.33,0.6200431034482758,0.4077958894401134
0.34,0.6049568965517241,0.4178326883000893
0.35,0.5922413793103448,0.42770428015564205
0.36,0.5810344827586207,0.439875999347365
0.37,0.5689655172413793,0.4495147284181849
0.38,0.5599137931034482,0.4620309443357638
0.39,0.5476293103448275,0.471866295264624
0.4,0.5385775862068966,0.48411468423091825
0.41,0.5232758620689655,0.49510603588907015
0.42,0.5118534482758621,0.5048894557823129
0.43,0.5036637931034482,0.5169210351692104
0.44,0.49331896551724136,0.5274193548387097
0.45,0.4829741379310345,0.5380552220888355
0.46,0.47155172413793106,0.5482335254322225
0.47,0.4603448275862069,0.5545171339563862
0.48,0.4519396551724138,0.5673701298701299
0.49,0.440948275862069,0.5763380281690141
0.5,0.43017241379310345,0.5856807511737089
0.51,0.41788793103448274,0.5931477516059958
0.52,0.4058189655172414,0.6006379585326954
0.53,0.3928879310344828,0.6056478405315615
0.54,0.3771551724137931,0.6067961165048543
0.55,0.36594827586206896,0.6129963898916968
0.56,0.35560344827586204,0.6235827664399093
0.57,0.33706896551724136,0.6365486365486366
0.58,0.327801724137931,0.6444915254237288
0.59,0.32176724137931034,0.6463203463203463
0.6,0.3127155172413793,0.6524280575539568
0.61,0.30280172413793105,0.654096834264432
0.62,0.2913793103448276,0.6588693957115009
0.63,0.2788793103448276,0.663249615581753
0.64,0.2689655172413793,0.6727762803234502
0.65,0.25883620689655173,0.6800679501698754
0.66,0.24913793103448276,0.6856465005931198
0.67,0.23620689655172414,0.6927939317319848
0.68,0.22349137931034482,0.6927187708750835
0.69,0.21293103448275863,0.6947960618846695
0.7,0.20172413793103447,0.6948775055679287
0.71,0.19181034482758622,0.7035573122529645
0.72,0.17974137931034484,0.7085811384876806
0.73,0.17004310344827586,0.7153218495013599
0.74,0.1560344827586207,0.7140039447731755
0.75,0.14310344827586208,0.7170626349892009
0.76,0.13038793103448276,0.7245508982035929
0.77,0.1165948275862069,0.7261744966442953
0.78,0.10711206896551724,0.7395833333333334
0.79,0.09288793103448276,0.7317487266553481
0.8,0.08318965517241379,0.7338403041825095
0.81,0.07370689655172413,0.7307692307692307
0.82,0.06465517241379311,0.7371007371007371
0.83,0.05646551724137931,0.7380281690140845
0.84,0.04870689655172414,0.743421052631579
0.85,0.04202586206896552,0.7386363636363636
0.86,0.03771551724137931,0.7446808510638298
0.87,0.03189655172413793,0.7437185929648241
0.88,0.02586206896551724,0.7407407407407407
0.89,0.021336206896551725,0.7333333333333333
0.9,0.016379310344827588,0.7307692307692307
0.91,0.01206896551724138,0.717948717948718
0.92,0.010560344827586207,0.7424242424242424
0.93,0.007543103448275862,0.7777777777777778
0.94,0.005603448275862069,0.7878787878787878
0.95,0.0028017241379310344,0.7647058823529411
0.96,0.0010775862068965517,0.7142857142857143
0.97,0.00021551724137931034,1.0
0.98,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
1.01,0.0,0.0
