residue	predus	ispred	dockpred	annotated	rfscore	logreg
39_1ACB.E	0.0	0.98	1.0	1	0.568305	0.958152
41_1ACB.E	0.112	0.99	0.85902	1	0.560567	0.963028
57_1ACB.E	0.0	0.97	0.6704	1	0.520856	0.522846
58_1ACB.E	0.0	0.0	0.58371	1	0.107108	0.287317
146_1ACB.E	0.455	0.98	0.87737	1	0.567832	0.999588
191_1ACB.E	0.494	0.0	0.14683	1	0.197922	0.795033
192_1ACB.E	1.0	0.19	0.90058	1	0.700975	1.0
193_1ACB.E	0.141	0.64	0.46594	1	0.314062	0.483555
195_1ACB.E	0.126	0.46	0.31971	1	0.186638	0.162235
214_1ACB.E	0.0	0.0	0.18059	1	0.079747	0.009724
215_1ACB.E	0.141	0.64	0.32321	1	0.271464	0.200825
216_1ACB.E	0.186	0.88	0.30955	1	0.307986	0.292284
218_1ACB.E	0.186	0.64	0.77582	1	0.541424	0.966525
41_1ACB.I	0.0	0.35	0.71289	1	0.198845	0.638344
42_1ACB.I	0.166	0.96	0.69873	1	0.630244	0.999967
43_1ACB.I	0.227	0.25	0.68456	1	0.210223	0.741131
44_1ACB.I	0.185	0.96	0.55249	1	0.566057	0.999958
45_1ACB.I	0.281	0.67	0.57709	1	0.422735	0.999077
46_1ACB.I	0.245	0.98	0.50368	1	0.539839	0.999978
47_1ACB.I	0.649	0.97	0.77883	1	0.615782	1.0
48_1ACB.I	1.0	0.17	0.59068	1	0.360839	0.998144
49_1ACB.I	0.433	0.24	1.0	1	0.296926	0.972118
55_1ACB.I	0.047	0.26	0.45947	1	0.231756	0.274061
68_1ACB.I	0.176	0.01	0.62408	1	0.150667	0.054612
30_1AHW.A	0.237	0.49	0.49713	1	0.267597	0.797011
32_1AHW.A	0.569	0.84	0.77953	1	0.464642	0.989739
50_1AHW.A	0.62	0.99	0.85515	1	0.565626	0.996802
91_1AHW.A	0.0	0.0	0.23158	1	0.08843	0.080736
92_1AHW.A	0.35	0.92	0.28355	1	0.294319	0.503301
93_1AHW.A	0.16	0.56	0.19802	1	0.347382	0.183176
94_1AHW.A	0.0	0.13	0.12631	1	0.063935	0.039832
96_1AHW.A	0.0	0.0	0.24434	1	0.098738	0.092023
530_1AHW.A	0.073	0.54	0.13426	1	0.089474	0.12122
531_1AHW.A	0.075	0.98	0.4493	1	0.300422	0.952945
532_1AHW.A	0.258	0.78	0.47019	1	0.278991	0.876134
533_1AHW.A	0.965	0.82	0.57476	1	0.541901	0.702069
552_1AHW.A	0.057	0.89	0.26204	1	0.210985	0.661311
554_1AHW.A	0.051	0.97	0.26911	1	0.317822	0.737768
555_1AHW.A	0.034	0.5	0.21047	1	0.131924	0.244963
557_1AHW.A	0.0	0.98	0.14898	1	0.353425	0.473241
559_1AHW.A	0.0	0.77	0.11697	1	0.227375	0.238066
600_1AHW.A	0.569	0.94	0.65158	1	0.555834	0.969673
601_1AHW.A	0.706	0.92	0.76224	1	0.450997	0.984849
602_1AHW.A	0.929	0.87	1.0	1	0.568257	0.997317
55_1AK4.A	0.036	0.61	0.4354	1	0.130615	0.231504
60_1AK4.A	0.0	0.19	0.80307	1	0.1818	0.153598
