Threshold,Global_Dbmark_Precision,Global_Dbmark_Recall,Global_NOX_Precision,Global_NOX_Recall,Global_Total_Precision,Global_Total_Recall
0,0.051694,1,0.089595,1,0.071773,1
0.01,0.075278,0.86734,0.140652,0.886207,0.109038,0.879818
0.02,0.103311,0.823569,0.154897,0.864483,0.133105,0.850627
0.03,0.120576,0.773064,0.168657,0.842414,0.149588,0.818928
0.04,0.130572,0.725926,0.179819,0.828966,0.161017,0.794071
0.05,0.139364,0.702357,0.189058,0.816207,0.170466,0.777651
0.06,0.146056,0.680808,0.196732,0.805517,0.17807,0.763284
0.07,0.153277,0.66936,0.204065,0.799655,0.185613,0.75553
0.08,0.158507,0.651852,0.210392,0.793103,0.191795,0.745268
0.09,0.165196,0.643098,0.216252,0.785517,0.198161,0.737286
0.1,0.17162,0.63771,0.221483,0.78069,0.204003,0.732269
0.11,0.175812,0.623569,0.225443,0.772414,0.208248,0.722007
0.12,0.180742,0.616835,0.229427,0.766207,0.212703,0.715621
0.13,0.184377,0.608754,0.23351,0.761724,0.216737,0.70992
0.14,0.187579,0.6,0.237001,0.757586,0.220257,0.704219
0.15,0.191948,0.593939,0.240641,0.751379,0.224249,0.698062
0.16,0.196895,0.589226,0.244111,0.746897,0.228355,0.693501
0.17,0.198751,0.578451,0.247588,0.743448,0.231389,0.687571
0.18,0.202194,0.571044,0.250643,0.739655,0.234708,0.682554
0.19,0.204146,0.563636,0.25377,0.736897,0.237521,0.678221
0.2,0.206405,0.555556,0.256181,0.732414,0.23999,0.67252
0.21,0.209851,0.550842,0.259059,0.727241,0.243127,0.667503
0.22,0.211257,0.543434,0.26126,0.722069,0.24512,0.661574
0.23,0.214803,0.539394,0.264575,0.718276,0.248578,0.657697
0.24,0.21598,0.533333,0.267244,0.713448,0.250767,0.652452
0.25,0.217742,0.527273,0.269877,0.70931,0.253165,0.647662
0.26,0.220113,0.523232,0.27228,0.705862,0.255612,0.644014
0.27,0.220998,0.513131,0.275587,0.703793,0.258246,0.639225
0.28,0.22426,0.510438,0.278211,0.701379,0.261154,0.636716
0.29,0.2273,0.509091,0.280981,0.698966,0.264042,0.634664
0.3,0.227538,0.499663,0.283586,0.695862,0.265973,0.629418
0.31,0.230337,0.49697,0.285511,0.692414,0.268243,0.626226
0.32,0.233386,0.494276,0.287772,0.688966,0.270817,0.623033
0.33,0.2344,0.488215,0.291795,0.687931,0.273917,0.620296
0.34,0.236686,0.484848,0.294579,0.685862,0.276598,0.617788
0.35,0.238063,0.480135,0.297091,0.683103,0.278795,0.614367
0.36,0.240258,0.477441,0.29918,0.679655,0.280952,0.611174
0.37,0.241997,0.473401,0.301951,0.677931,0.283454,0.608666
0.38,0.245098,0.47138,0.303585,0.674483,0.285622,0.605701
0.39,0.248219,0.46936,0.306062,0.672069,0.288361,0.603421
0.4,0.250813,0.46734,0.307705,0.667931,0.290333,0.6
0.41,0.253945,0.465993,0.3091,0.664138,0.292318,0.597035
0.42,0.255144,0.459259,0.311436,0.662069,0.294411,0.593387
0.43,0.256849,0.454545,0.313125,0.658966,0.296186,0.589738
0.44,0.259302,0.450505,0.315327,0.656207,0.298549,0.586545
0.45,0.261914,0.447811,0.317931,0.654828,0.301222,0.584721
0.46,0.26299,0.443098,0.31939,0.650345,0.302605,0.58016
0.47,0.266558,0.439057,0.321587,0.648276,0.305355,0.577423
0.48,0.26796,0.437037,0.323433,0.645862,0.307074,0.575143
0.49,0.271315,0.435017,0.326167,0.643448,0.310047,0.572862
0.5,0.272533,0.42963,0.327976,0.640345,0.311758,0.568985
0.51,0.273556,0.424242,0.329823,0.637241,0.313433,0.565108
0.52,0.274846,0.420875,0.332309,0.634138,0.315574,0.561916
0.53,0.278549,0.418855,0.333638,0.62931,0.317668,0.558039
0.54,0.28071,0.415488,0.335858,0.626897,0.319932,0.555302
0.55,0.283472,0.413468,0.33782,0.623103,0.322156,0.552109
0.56,0.28538,0.410101,0.339633,0.619655,0.32404,0.548689
0.57,0.287006,0.406061,0.341804,0.616897,0.326108,0.545496
0.58,0.289792,0.403367,0.343641,0.613103,0.32827,0.542075
0.59,0.292346,0.398653,0.345515,0.609655,0.33044,0.538198
0.6,0.293647,0.395286,0.34756,0.606552,0.332295,0.535006
0.61,0.294267,0.390572,0.348949,0.601034,0.333477,0.529761
0.62,0.295818,0.385859,0.351439,0.597931,0.335759,0.526112
0.63,0.29937,0.383838,0.355131,0.595517,0.339441,0.523831
0.64,0.302625,0.380471,0.357069,0.593103,0.341861,0.521095
0.65,0.302832,0.374411,0.359477,0.587931,0.343669,0.515621
0.66,0.304035,0.37037,0.361366,0.583793,0.345396,0.511517
0.67,0.307692,0.36633,0.363617,0.579655,0.348146,0.507412
0.68,0.308357,0.360269,0.367369,0.576897,0.351089,0.503535
0.69,0.311834,0.354882,0.368854,0.571724,0.353274,0.49829
0.7,0.313995,0.353535,0.368978,0.565172,0.353942,0.493501
0.71,0.315949,0.350842,0.370556,0.56069,0.35564,0.489624
0.72,0.318519,0.347475,0.372803,0.555862,0.358008,0.485291
0.73,0.32197,0.343434,0.374121,0.550345,0.36,0.480274
0.74,0.323415,0.3367,0.376846,0.545517,0.362465,0.4748
0.75,0.323841,0.329293,0.379511,0.540345,0.364604,0.468871
0.76,0.327481,0.326599,0.381423,0.532414,0.366974,0.462714
0.77,0.328542,0.323232,0.384693,0.528621,0.369629,0.459065
0.78,0.329802,0.314478,0.386759,0.521724,0.371622,0.451539
0.79,0.336245,0.311111,0.389831,0.515517,0.375696,0.446294
