Threshold,Global_TPR,Global_FPR
0,1.000,1.000
0.01,.879,.485
0.02,.851,.410
0.03,.830,.369
0.04,.814,.339
0.05,.809,.315
0.06,.791,.291
0.07,.785,.275
0.08,.772,.263
0.09,.759,.251
0.1,.746,.239
0.11,.738,.232
0.12,.723,.223
0.13,.723,.215
0.14,.710,.208
0.15,.707,.203
0.16,.697,.199
0.17,.691,.193
0.18,.691,.188
0.19,.676,.181
0.2,.671,.176
0.21,.665,.172
0.22,.655,.167
0.23,.639,.164
0.24,.634,.160
0.25,.621,.156
0.26,.605,.152
0.27,.603,.149
0.28,.597,.145
0.29,.587,.142
0.3,.579,.137
0.31,.574,.135
0.32,.563,.130
0.33,.561,.127
0.34,.550,.125
0.35,.543,.121
0.36,.537,.117
0.37,.522,.114
0.38,.519,.110
0.39,.506,.107
0.4,.501,.105
0.41,.490,.102
0.42,.488,.099
0.43,.480,.097
0.44,.472,.092
0.45,.462,.088
0.46,.449,.084
0.47,.446,.080
0.48,.436,.071
0.49,.420,.063
0.5,.396,.058
0.51,.383,.056
0.52,.378,.052
0.53,.370,.049
0.54,.352,.047
0.55,.352,.044
0.56,.347,.043
0.57,.326,.041
0.58,.305,.039
0.59,.287,.038
0.6,.279,.035
0.61,.271,.033
0.62,.255,.031
0.63,.240,.029
0.64,.237,.028
0.65,.232,.026
0.66,.224,.025
0.67,.214,.023
0.68,.208,.023
0.69,.198,.021
0.7,.190,.020
0.71,.190,.019
0.72,.174,.017
0.73,.164,.016
0.74,.151,.015
0.75,.140,.015
0.76,.135,.014
0.77,.127,.013
0.78,.122,.013
0.79,.112,.012
0.8,.107,.011
0.81,.107,.011
0.82,.099,.010
0.83,.099,.010
0.84,.099,.009
0.85,.096,.008
0.86,.080,.008
0.87,.078,.008
0.88,.075,.007
0.89,.070,.007
0.9,.065,.006
0.91,.057,.006
0.92,.049,.005
0.93,.046,.005
0.94,.044,.005
0.95,.033,.004
0.96,.031,.004
0.97,.026,.004
0.98,.023,.004
0.99,.023,.004
1,.020,.003
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
