,predus_FPR,predus_TPR,ispred_TPR,ispred_FPR,dockpred_TPR,dockpred_FPR
,ispred_FPR,ispred_TPR,,,,
,dockpred_FPR,dockpred_TPR,,,,
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.13997627520759193,0.7358490566037735,0.8679245283018868,0.5682087781731909,1.0,0.47568208778173193
0.02,0.13641755634638197,0.7358490566037735,0.8490566037735849,0.4223013048635824,1.0,0.38552787663107946
0.03,0.12455516014234876,0.7358490566037735,0.8490566037735849,0.36061684460260973,1.0,0.3274021352313167
0.04,0.1103202846975089,0.6981132075471698,0.8490566037735849,0.32147093712930014,1.0,0.2918149466192171
0.05,0.099644128113879,0.6792452830188679,0.8490566037735849,0.28944246737841045,1.0,0.2586002372479241
0.06,0.08540925266903915,0.6226415094339622,0.8490566037735849,0.26334519572953735,1.0,0.2372479240806643
0.07,0.08540925266903915,0.6226415094339622,0.8490566037735849,0.2431791221826809,0.9811320754716981,0.22182680901542112
0.08,0.07829181494661921,0.5849056603773585,0.8490566037735849,0.2313167259786477,0.9811320754716981,0.2111506524317912
0.09,0.06287069988137604,0.5849056603773585,0.8490566037735849,0.2147093712930012,0.9811320754716981,0.20284697508896798
0.1,0.060498220640569395,0.5849056603773585,0.8490566037735849,0.20521945432977462,0.9811320754716981,0.18979833926453143
0.11,0.05812574139976275,0.5849056603773585,0.8490566037735849,0.19572953736654805,0.9811320754716981,0.17200474495848161
0.12,0.05219454329774614,0.5660377358490566,0.8490566037735849,0.18623962040332148,0.9433962264150944,0.16132858837485173
0.13,0.04744958481613286,0.5471698113207547,0.8490566037735849,0.1826809015421115,0.9056603773584906,0.15658362989323843
0.14,0.046263345195729534,0.5471698113207547,0.8301886792452831,0.17319098457888493,0.8867924528301887,0.1435349940688019
0.15,0.045077105575326216,0.5094339622641509,0.8301886792452831,0.166073546856465,0.8490566037735849,0.1376037959667853
0.16,0.045077105575326216,0.5094339622641509,0.8301886792452831,0.15776986951364175,0.8490566037735849,0.13523131672597866
0.17,0.042704626334519574,0.4716981132075472,0.8301886792452831,0.15302491103202848,0.8490566037735849,0.13167259786476868
0.18,0.04151838671411625,0.4528301886792453,0.8113207547169812,0.14590747330960854,0.8113207547169812,0.12336892052194544
0.19,0.03558718861209965,0.39622641509433965,0.8113207547169812,0.14472123368920523,0.7735849056603774,0.11862396204033215
0.2,0.03202846975088968,0.39622641509433965,0.7735849056603774,0.14116251482799524,0.7547169811320755,0.11150652431791222
0.21,0.02609727164887307,0.39622641509433965,0.7735849056603774,0.13997627520759193,0.7547169811320755,0.10794780545670225
0.22,0.02609727164887307,0.39622641509433965,0.7735849056603774,0.13404507710557534,0.7358490566037735,0.10201660735468565
0.23,0.02491103202846975,0.37735849056603776,0.7735849056603774,0.13048635824436536,0.7358490566037735,0.099644128113879
0.24,0.02491103202846975,0.3584905660377358,0.7735849056603774,0.13048635824436536,0.7169811320754716,0.09727164887307237
0.25,0.02372479240806643,0.33962264150943394,0.7547169811320755,0.1269276393831554,0.6981132075471698,0.0937129300118624
0.26,0.022538552787663108,0.32075471698113206,0.7358490566037735,0.12336892052194544,0.6981132075471698,0.08540925266903915
0.27,0.022538552787663108,0.32075471698113206,0.7169811320754716,0.12099644128113879,0.660377358490566,0.08066429418742586
0.28,0.018979833926453145,0.32075471698113206,0.7169811320754716,0.11862396204033215,0.660377358490566,0.07829181494661921
0.29,0.018979833926453145,0.3018867924528302,0.7169811320754716,0.11743772241992882,0.6415094339622641,0.07473309608540925
0.3,0.0166073546856465,0.3018867924528302,0.7169811320754716,0.1162514827995255,0.6415094339622641,0.07473309608540925
0.31,0.011862396204033215,0.3018867924528302,0.7169811320754716,0.11506524317912219,0.6226415094339622,0.07354685646500593
0.32,0.011862396204033215,0.3018867924528302,0.7169811320754716,0.1103202846975089,0.6037735849056604,0.07354685646500593
0.33,0.009489916963226572,0.3018867924528302,0.7169811320754716,0.10676156583629894,0.5849056603773585,0.07236061684460261
0.34,0.009489916963226572,0.3018867924528302,0.7169811320754716,0.10320284697508897,0.5849056603773585,0.066429418742586
0.35,0.009489916963226572,0.3018867924528302,0.7169811320754716,0.10201660735468565,0.5849056603773585,0.066429418742586
0.36,0.009489916963226572,0.2830188679245283,0.6981132075471698,0.099644128113879,0.5849056603773585,0.06168446026097272
0.37,0.009489916963226572,0.2830188679245283,0.6981132075471698,0.09845788849347568,0.5849056603773585,0.05812574139976275
0.38,0.00830367734282325,0.2830188679245283,0.6981132075471698,0.09608540925266904,0.5849056603773585,0.054567022538552785
0.39,0.00830367734282325,0.2830188679245283,0.6981132075471698,0.09489916963226572,0.5849056603773585,0.051008303677342826
0.4,0.00830367734282325,0.2830188679245283,0.6981132075471698,0.09252669039145907,0.5849056603773585,0.04863582443653618
0.41,0.00830367734282325,0.2830188679245283,0.6981132075471698,0.09015421115065243,0.5849056603773585,0.045077105575326216
0.42,0.00830367734282325,0.2830188679245283,0.6981132075471698,0.08778173190984578,0.5849056603773585,0.045077105575326216
0.43,0.0071174377224199285,0.2641509433962264,0.6981132075471698,0.0830367734282325,0.5849056603773585,0.04033214709371293
