residue,predus,ispred,dockpred,annotated,rfscore,logreg
39_1ACB.E,0.0,0.98,1.0,1,0.5683047822697446,0.9581524733868153
41_1ACB.E,0.112,0.99,0.85902,1,0.5605667715276905,0.9630281503711375
57_1ACB.E,0.0,0.97,0.6704,1,0.5208561835963005,0.5228455015391615
58_1ACB.E,0.0,0.0,0.58371,1,0.10710828262705675,0.2873171351048806
146_1ACB.E,0.455,0.98,0.87737,1,0.5678318149138984,0.9995881205612235
191_1ACB.E,0.494,0.0,0.14683,1,0.19792214442685144,0.795032623598588
192_1ACB.E,1.0,0.19,0.90058,1,0.7009752146669412,0.999999620355897
193_1ACB.E,0.141,0.64,0.46594,1,0.31406196349505566,0.4835548558037338
195_1ACB.E,0.126,0.46,0.31971,1,0.1866383083316061,0.1622349623667241
214_1ACB.E,0.0,0.0,0.18059,1,0.07974669291694736,0.00972352400449874
215_1ACB.E,0.141,0.64,0.32321,1,0.2714643555789349,0.200825236780565
216_1ACB.E,0.186,0.88,0.30955,1,0.307986276122487,0.29228445598177233
218_1ACB.E,0.186,0.64,0.77582,1,0.5414243901663113,0.966524874190569
41_1ACB.I,0.0,0.35,0.71289,1,0.19884535235214215,0.6383443207474747
42_1ACB.I,0.166,0.96,0.69873,1,0.6302438707449763,0.9999674103573123
43_1ACB.I,0.227,0.25,0.68456,1,0.21022309734650257,0.7411309697226779
44_1ACB.I,0.185,0.96,0.55249,1,0.5660565454449009,0.999958349178931
45_1ACB.I,0.281,0.67,0.57709,1,0.4227352447528475,0.9990772536999293
46_1ACB.I,0.245,0.98,0.50368,1,0.5398393100502378,0.9999782781436243
47_1ACB.I,0.649,0.97,0.77883,1,0.6157818894277607,0.9999996317085258
48_1ACB.I,1.0,0.17,0.59068,1,0.36083885982262776,0.9981444942162746
49_1ACB.I,0.433,0.24,1.0,1,0.2969257514376427,0.97211764012287
55_1ACB.I,0.047,0.26,0.45947,1,0.23175642219537781,0.27406132987804444
68_1ACB.I,0.176,0.01,0.62408,1,0.15066704146466992,0.05461163062523575
30_1AHW.A,0.237,0.49,0.49713,1,0.2675969459105485,0.7970105055394158
32_1AHW.A,0.569,0.84,0.77953,1,0.4646415440495546,0.9897388981232268
50_1AHW.A,0.62,0.99,0.85515,1,0.5656263077837993,0.9968020969461976
91_1AHW.A,0.0,0.0,0.23158,1,0.08843039951189673,0.08073633403862035
92_1AHW.A,0.35,0.92,0.28355,1,0.2943185305608705,0.503301461138693
93_1AHW.A,0.16,0.56,0.19802,1,0.34738160014342917,0.18317630287294254
94_1AHW.A,0.0,0.13,0.12631,1,0.06393482688886722,0.03983236756156583
96_1AHW.A,0.0,0.0,0.24434,1,0.09873782069588995,0.09202338726974213
530_1AHW.A,0.073,0.54,0.13426,1,0.08947445366705424,0.12121973470500791
531_1AHW.A,0.075,0.98,0.4493,1,0.30042183599534117,0.9529450491080621
532_1AHW.A,0.258,0.78,0.47019,1,0.27899083182590295,0.8761341387552202
533_1AHW.A,0.965,0.82,0.57476,1,0.5419011852865134,0.7020688401870651
552_1AHW.A,0.057,0.89,0.26204,1,0.2109850672551747,0.6613113401274152
554_1AHW.A,0.051,0.97,0.26911,1,0.3178215591892717,0.737767823958049
555_1AHW.A,0.034,0.5,0.21047,1,0.13192424160189617,0.244962984952073
557_1AHW.A,0.0,0.98,0.14898,1,0.353425363728741,0.4732411643033643
559_1AHW.A,0.0,0.77,0.11697,1,0.22737460818284755,0.23806607621241813
600_1AHW.A,0.569,0.94,0.65158,1,0.555834092645317,0.9696734137180136
601_1AHW.A,0.706,0.92,0.76224,1,0.4509970713853136,0.9848485634566855
602_1AHW.A,0.929,0.87,1.0,1,0.5682572735287832,0.9973170590667404
55_1AK4.A,0.036,0.61,0.4354,1,0.1306151048733901,0.2315040272155753
60_1AK4.A,0.0,0.19,0.80307,1,0.18179978061887314,0.1535982618683973
63_1AK4.A,0.0,0.0,0.11175,1,0.05310427161586714,0.011291233931866122
71_1AK4.A,1.0,0.85,0.174,1,0.4254054682018183,0.5280102933820342
72_1AK4.A,0.422,0.93,0.12153,1,0.25814231258493053,0.3851922444104655
73_1AK4.A,0.0,0.91,0.17276,1,0.4425384900965977,0.2860255168461366
102_1AK4.A,0.056,0.68,0.18101,1,0.126935995432822,0.15794299902767944
