residue,predus,ispred,dockpred,annotated,rfscore,logreg
1_1ACB.E,0.0,0.27,0.06375,0,0.19,0.0035253732480369044
2_1ACB.E,0.0,0.0,0.01764,0,0.0,0.002182465017845211
3_1ACB.E,0.0,0.17,0.05572,0,0.09,0.003207790974463937
4_1ACB.E,0.0,0.0,0.03469,0,0.0,0.002552847549971143
5_1ACB.E,0.0,0.15,0.04091,0,0.09,0.002788144669644478
6_1ACB.E,0.0,0.16,0.02098,0,0.09,0.0023262209356575583
7_1ACB.E,0.0,0.08,0.04485,0,0.0,0.0028494312404833983
8_1ACB.E,0.0,0.06,0.02098,0,0.0,0.00227862328645489
9_1ACB.E,0.0,0.02,0.02447,0,0.0,0.0023335489245601784
10_1ACB.E,0.0,0.0,0.02393,0,0.0,0.0023124111393004352
11_1ACB.E,0.0,0.02,0.03195,0,0.0,0.0024996639473340416
12_1ACB.E,0.0,0.05,0.03206,0,0.0,0.002517756604869905
13_1ACB.E,0.0,0.29,0.03682,0,0.05,0.002764109635641146
16_1ACB.E,0.0,0.0,0.00016,0,0.0,0.0018583543575235143
17_1ACB.E,0.035,0.0,0.01147,0,0.0,0.003216237375479888
18_1ACB.E,0.0,0.05,0.02955,0,0.0,0.002460328125253242
19_1ACB.E,0.0,0.19,0.00601,0,0.09,0.002039676684822681
20_1ACB.E,0.0,0.03,0.01103,0,0.0,0.0020665334479073334
21_1ACB.E,0.0,0.02,0.00994,0,0.0,0.0020416949353734013
22_1ACB.E,0.0,0.0,0.00442,0,0.0,0.0019326175447565474
23_1ACB.E,0.0,0.03,0.01529,0,0.0,0.0021490979344591372
24_1ACB.E,0.0,0.01,0.01207,0,0.0,0.0020777824905046025
25_1ACB.E,0.0,0.07,0.00251,0,0.0,0.0019266532840625456
26_1ACB.E,0.0,0.0,0.00066,0,0.0,0.001866921002907614
27_1ACB.E,0.0,0.0,0.00082,0,0.0,0.0018696706455275914
28_1ACB.E,0.0,0.0,0.00464,0,0.0,0.0019365321676867346
29_1ACB.E,0.0,0.0,0.00262,0,0.0,0.0019008840519332704
30_1ACB.E,0.0,0.0,0.0,0,0.0,0.0018556213263322236
31_1ACB.E,0.0,0.0,0.0,0,0.0,0.0018556213263322236
32_1ACB.E,0.0,0.0,0.00262,0,0.0,0.0019008840519332704
33_1ACB.E,0.0,0.0,0.00918,0,0.0,0.002019106009846084
34_1ACB.E,0.0,0.0,0.06145,0,0.0,0.0032644938334315896
35_1ACB.E,0.0,0.32,0.63932,0,0.36,0.4183225888051721
36_1ACB.E,0.0,0.65,0.1743,0,0.43,0.010490766389020547
37_1ACB.E,0.0,0.82,0.51652,0,0.91,0.204609433516539
38_1ACB.E,0.0,0.43,0.13891,0,0.43,0.007257470475287372
39_1ACB.E,0.0,0.98,1.0,1,0.82,0.9581524733868153
40_1ACB.E,0.121,0.0,0.40438,0,0.0,0.2649511742920919
41_1ACB.E,0.112,0.99,0.85902,1,0.69,0.9630281503711375
42_1ACB.E,0.0,0.0,0.38898,0,0.0,0.06279653190988803
43_1ACB.E,0.0,0.0,0.00344,0,0.0,0.001915275407654446
44_1ACB.E,0.0,0.0,0.0,0,0.0,0.0018556213263322236
45_1ACB.E,0.0,0.0,0.0,0,0.0,0.0018556213263322236
46_1ACB.E,0.0,0.0,0.00115,0,0.0,0.00187535455594442
47_1ACB.E,0.0,0.0,0.03387,0,0.0,0.002533677646464589
48_1ACB.E,0.0,0.17,0.04326,0,0.09,0.0028608088350585486
49_1ACB.E,0.0,0.25,0.0537,0,0.19,0.0032012796676663667
50_1ACB.E,0.0,0.11,0.02098,0,0.0,0.0023022993941684044
51_1ACB.E,0.0,0.0,0.01748,0,0.0,0.0021792563666241447
52_1ACB.E,0.0,0.0,0.0,0,0.0,0.0018556213263322236
53_1ACB.E,0.0,0.0,0.0,0,0.0,0.0018556213263322236
54_1ACB.E,0.0,0.0,0.00055,0,0.0,0.0018650329652898407
55_1ACB.E,0.0,0.0,0.00683,0,0.0,0.0019759345572805545
56_1ACB.E,0.0,0.0,0.1028,0,0.0,0.004771477709497503
57_1ACB.E,0.0,0.97,0.6704,1,0.91,0.5228455015391615
58_1ACB.E,0.0,0.0,0.58371,1,0.01,0.2873171351048806
59_1ACB.E,0.0,0.78,0.48834,0,0.91,0.1644183484610294
60_1ACB.E,0.0,0.0,0.13722,0,0.0,0.0065409141997109016
61_1ACB.E,0.0,0.11,0.26979,0,0.0,0.022343726551591333
62_1ACB.E,0.0,0.06,0.04004,0,0.0,0.00271497574992502
63_1ACB.E,0.0,0.02,0.13711,0,0.0,0.006561288356952663
64_1ACB.E,0.0,0.0,0.28907,0,0.0,0.025989498388214075
