# Parameters
#AUC	Inverted	ACC	OT	fp	tp	N	P
0.792092	+	0.948409	0.980000	0.001982	0.038384	27241	1485
# ROC Points
#fp	tp
0.000000	0.000000
0.000000	0.001347
0.001982	0.038384
0.005286	0.086195
0.007819	0.125926
0.010279	0.148822
0.012701	0.169697
0.014537	0.186532
0.016079	0.202020
0.017584	0.212795
0.018942	0.224916
0.020337	0.232323
0.021732	0.238384
0.023127	0.253199
0.024191	0.261279
0.025146	0.268687
0.026284	0.277441
0.027202	0.281481
0.028119	0.290236
0.029331	0.298316
0.030799	0.304377
0.032121	0.306397
0.033369	0.311111
0.034727	0.314478
0.035902	0.323232
0.036452	0.326599
0.037370	0.329293
0.038288	0.336700
0.039316	0.343434
0.040417	0.347475
0.041298	0.350842
0.041959	0.353535
0.042546	0.354882
0.043904	0.360269
0.044785	0.366330
0.046070	0.370370
0.046841	0.374411
0.047649	0.380471
0.048823	0.383838
0.049925	0.385859
0.050916	0.390572
0.051687	0.395286
0.052458	0.398653
0.053743	0.403367
0.054844	0.406061
0.055835	0.410101
0.056826	0.413468
0.057891	0.415488
0.058992	0.418855
0.060350	0.420875
0.061231	0.424242
0.062333	0.429630
0.063507	0.435017
0.064902	0.437037
0.065673	0.439057
0.067509	0.443098
0.068610	0.447811
0.069968	0.450505
0.071510	0.454545
0.072905	0.459259
0.074447	0.465993
0.075915	0.467340
0.077310	0.469360
0.078925	0.471380
0.080614	0.473401
0.082082	0.477441
0.083551	0.480135
0.085019	0.484848
0.086708	0.488215
0.088286	0.494276
0.090268	0.496970
0.092214	0.499663
0.094049	0.509091
0.095958	0.510438
0.098308	0.513131
0.100731	0.523232
0.102933	0.527273
0.105136	0.533333
0.107081	0.539394
0.110202	0.543434
0.112661	0.550842
0.116038	0.555556
0.119379	0.563636
0.122426	0.571044
0.126721	0.578451
0.130575	0.589226
0.135861	0.593939
0.141221	0.600000
0.146360	0.608754
0.151977	0.616835
0.158878	0.623569
0.167321	0.637710
0.176682	0.643098
0.188099	0.651852
0.200910	0.669360
0.216255	0.680808
0.235711	0.702357
0.262656	0.725926
0.306376	0.773064
0.388495	0.823569
0.578613	0.867340
1.000000	1.000000
