Protein,dock_not_ispred,ispred_not_dock,delta_ispred_dock
3BX7.A,,,0
3EO1.A,,,0
1GHQ.A,,,1
1T6B.Y,,,0
3VLB.A,,,1
3EOA.L,,,0
1ZHH.A,,,0
2B4J.C,,,0
1ACB.E,,,0
1AVX.A,,,0
1ZHI.A,,,0
1GXD.C,,,0
1US7.B,,159,1
1FC2.D,,,1
1TMQ.A,,,0
1S1Q.A,,,0
3R9A.B,,,0
1KXP.D,,,0
3HMX.L,,,0
2W9E.H,,,0
3SZK.E,,,0
3DAW.A,,,1
1T6B.X,,,0
1KLU.D,,,0
4DN4.L,,,0
2CFH.C,,,0
1KXP.A,,,0
1F34.A,,,0
3F1P.A,,,0
1JIW.P,,,0
3BX7.C,,,0
1TMQ.B,,,0
2FD6.H,,,0
3DAW.B,,,0
3SZK.F,,,0
1AHW.A,,,0
3V6Z.A,,,0
3HI6.X,,,0
2HQS.A,,,0
1VFB.A,,,0
1MQ8.B,,,1
1GXD.A,,,0
1IRA.X,,,0
2BTF.A,,,1
3RVW.C,,,0
3F1P.B,,,0
1AK4.A,,,0
2SIC.I,,,1
1JIW.I,,,1
1DFJ.I,,,0
1DQJ.A,,,0
2J0T.D,,,1
3VLB.B,,,0
1BGX.H,,,0
1PVH.B,,,0
2VIS.A,,,0
1ZHI.B,,,0
1EXB.E,,,0
1MLC.A,,,0
1OFU.A,,,1
1US7.A,, 126,2
2O3B.A,,,0
2J0T.A,,,1
4M76.A,,,0
2SIC.E,,,0
2HRK.B,,,0
1DFJ.E,,,0
1FFW.B,,,0
4G6M.H,,,0
1WEJ.H,,,0
3AAA.C,,,0
1QA9.A,,,1
3S9D.B,,,0
2VXT.H,,,0
1KTZ.A,,,0
2C0L.A,,,1
1AY7.A,,,0
2B42.B,,,1
4G6J.H,,,0
3L5W.L,,,0
1ML0.A,,,1
1KAC.A,,,0
7CEI.B,,,0
2A5T.B,,,0
2B42.A,,,0
1E4K.C,,,0
1AY7.B,,,0
4JCV.E,,,0
2VDB.A,,,0
1E6J.H,,,0
1KAC.B,,,0
2BTF.P,,,0
2HLE.B,,,0
1FLE.E,,,0
7CEI.A,,,0
2A5T.A,,,0
1DE4.E,,,0
3G6D.L,,,0
4M76.B,,,0
1XQS.A,,,0
3BIW.A,,,0
2AJF.E,,,0
1FFW.A,,,0
3MXW.L,,,0
4FQI.H,,,0
1JPS.H,,,0
1QA9.B,,,0
1ACB.I,,,0
1AFW.A,,,0
1GLA.F,,,0
1CMX.A,,,0
1TRK.A,,,0
1UEA.A,,,1
1TAB.I,,,0
1MSP.A,,,0
1I2M.A,,,1
1WQ1.R,,,0
1TCO.A,,,0
1BJN.A,,,0
1DOR.A,,,0
1I8L.A,,,0
1AQ6.A,,,0
1SMP.I,,,1
4XXH.A,,,0
2PCB.A,,,0
1EMV.A,,,0
1F60.A,,,1
2PTC.I,,,0
2UTG.A,,,0
1BVN.T,,,0
1SPU.A,,,0
3TMK.A,,,0
1TMQ.A,,,0
2AE2.A,,,0
1H2A.L,,,0
1DOW.A,,,1
1QAE.A,,,0
1AHJ.A,,,0
1C0F.S,,,1
1QAV.A,,,0
1SOX.A,,,0
1XSO.A,,,0
1F34.A,,,0
1RRP.A,,,1
1AT3.A,,,0
1YVE.I,,,0
1HJR.A,,,0
2NAC.A,,,1
1CP2.A,,,0
1AJ8.A,,,1
1AGR.E,,,0
1CMB.A,,,1
4SGB.I,,,0
1AVA.A,, ,2
1QAX.A,,,0
1JKM.A,,,0
1ISA.A,,,0
1STF.E,,,0
1QOR.A,,,0
1EFV.A,,,0
1CLI.A,,,0
1B5E.A,,,0
1BUH.A,,,0
1AK4.A,,,0
2SIC.I,,,1
1B34.A,,,0
1JTD.A,,,0
1BI7.A,,,0
1YPI.A,,,0
1AVZ.B,,,1
1LUC.A,,,0
1XIK.A,,,0
1ZBD.A,,,0
1AVW.A,,,0
2HDH.A,,,0
1CVS.A,,,0
1VLT.A,,,0
2PFL.A,,,0
1B8J.A,,,0
1F6Y.A,,,0
1HLU.A,,,0
1B3A.A,,,0
1ATN.A,,,1
1QFE.A,,,0
1NSE.A,,,0
1CSE.I,,,0
1D09.A,,,1
1CQI.A,,,0
1GUX.A,,,1
1B6C.A,,,1
1PP2.L,,,0
1AOM.A,,,1
1QBI.A,,,1
1FIN.A,,,0
3HHR.A,,,0
1BO1.A,,,0
1EG9.A,,,0
1YCS.A,,,0
1KPE.A,,,0
1KAC.A,,,0
1TX4.A,,,0
2HHM.A,,,0
1COZ.A,,,0
1FSS.A,,,0
1BML.A,,,0
1HGX.A,,,1
1A4Y.A,,,0
1PNK.A,,,0
1A4I.A,,,0
1ONE.A,,,1
1B8A.A,,,0
1B7B.A,,,1
1WGJ.A,,,0
1AJS.A,,,0
1FRV.A,,,0
1LFD.A,,,0
1EAI.C,,,0
1EUV.A,,,0
1QBK.B,,,0
1PDK.A,,,0
3C98.A,,,1
1HSS.A,,,0
1BRM.A,,,0
1CC0.A,, ,2
4MDH.A,,,0
1DCE.A,,,0
1BYF.A,,,0
1BKD.R,,,1
1REQ.A,,,0
1ETH.A,,,0
1B9M.A,,,0
1GPE.A,,,0
1ITB.A,,,0
1SMT.A,,,0
1CNZ.A,,,0
1VOK.A,,,0
1A0F.A,, ,2
1QFH.A,,,0
2AAI.A,,,0
1TGS.I,,,0
1DHK.A,,,0
